,MJD,MAG,MAGERR,FLT,Vega,RMAG,MJD_S
0,49076.89,10.7,0.1,U,1.0,8.946147091667452,3.889999999999418
15,49080.9,12.55,0.1,U,1.0,11.41649889103442,7.900000000001455
14,49080.9,12.469999999999999,0.1,U,1.0,11.195108111445013,7.900000000001455
12,49080.2,11.95,0.1,U,1.0,10.81649889103442,7.19999999999709
11,49080.16,12.36,0.1,U,1.0,11.085108111445013,7.1600000000034925
10,49079.99,12.27,0.1,U,1.0,11.136498891034421,6.989999999997963
9,49079.99,12.25,0.1,U,1.0,11.116498891034421,6.989999999997963
8,49079.08,11.899999999999999,0.1,U,1.0,10.76649889103442,6.080000000001746
13,49080.2,12.219999999999999,0.1,U,1.0,10.945108111445013,7.19999999999709
6,49078.9,11.829999999999998,0.1,U,1.0,10.69649889103442,5.900000000001455
5,49077.98,11.34,0.1,U,1.0,10.206498891034421,4.980000000003201
4,49077.98,11.32,0.1,U,1.0,10.18649889103442,4.980000000003201
3,49077.06,10.809999999999999,0.1,U,1.0,9.056147091667452,4.059999999997672
2,49077.06,10.77,0.1,U,1.0,9.016147091667452,4.059999999997672
1,49076.89,10.739999999999998,0.1,U,1.0,8.986147091667451,3.889999999999418
7,49078.9,11.84,0.1,U,1.0,10.706498891034421,5.900000000001455
205,49079.51,11.74,0.1,B,1.0,11.345108111445013,6.510000000002037
206,49079.99,11.82,0.1,B,1.0,11.56649889103442,6.989999999997963
207,49079.99,11.84,0.1,B,1.0,11.108227992233473,6.989999999997963
208,49080.16,11.84,0.1,B,1.0,11.108227992233473,7.1600000000034925
212,49080.9,12.03,0.1,B,1.0,11.77649889103442,7.900000000001455
210,49080.2,11.93,0.1,B,1.0,11.67649889103442,7.19999999999709
211,49080.53,12.16,0.1,B,1.0,11.765108111445013,7.529999999998836
213,49080.9,12.05,0.1,B,1.0,11.796498891034421,7.900000000001455
204,49079.2,11.66,0.1,B,1.0,11.265108111445013,6.19999999999709
209,49080.16,11.9,0.1,B,1.0,11.168227992233474,7.1600000000034925
203,49079.08,11.57,0.1,B,1.0,11.046850720041157,6.080000000001746
200,49078.5,11.4,0.1,B,1.0,11.14649889103442,5.5
201,49078.9,11.47,0.1,B,1.0,11.075108111445013,5.900000000001455
199,49077.98,11.120000000000001,0.1,B,1.0,10.866498891034421,4.980000000003201
198,49077.2,10.84,0.1,B,1.0,10.316850720041156,4.19999999999709
197,49077.2,10.82,0.1,B,1.0,10.56649889103442,4.19999999999709
196,49077.16,10.81,0.1,B,1.0,10.415108111445013,4.1600000000034925
195,49077.06,10.76,0.1,B,1.0,10.50649889103442,4.059999999997672
194,49077.0,10.71,0.1,B,1.0,10.456498891034421,4.0
193,49076.89,10.69,0.1,B,1.0,10.43649889103442,3.889999999999418
192,49076.89,10.68,0.1,B,1.0,10.285108111445012,3.889999999999418
191,49076.0,10.71,0.1,B,1.0,10.456498891034421,3.0
202,49078.9,11.48,0.1,B,1.0,11.085108111445013,5.900000000001455
607,49079.49,11.52,0.1,V,1.0,11.015108111445013,6.489999999997963
609,49079.99,11.62,0.1,V,1.0,11.115108111445013,6.989999999997963
610,49079.99,11.639999999999999,0.1,V,1.0,11.006850720041156,6.989999999997963
611,49080.16,11.66,0.1,V,1.0,11.155108111445013,7.1600000000034925
612,49080.16,11.67,0.1,V,1.0,11.165108111445013,7.1600000000034925
617,49080.9,11.809999999999999,0.1,V,1.0,11.44649889103442,7.900000000001455
614,49080.2,11.7,0.1,V,1.0,11.195108111445013,7.19999999999709
615,49080.53,11.78,0.1,V,1.0,11.41649889103442,7.529999999998836
616,49080.56,11.78,0.1,V,1.0,11.41649889103442,7.559999999997672
606,49079.2,11.4,0.1,V,1.0,10.895108111445014,6.19999999999709
613,49080.2,11.69,0.1,V,1.0,11.056850720041156,7.19999999999709
605,49079.08,11.379999999999999,0.1,V,1.0,11.01649889103442,6.080000000001746
608,49079.51,11.5,0.1,V,1.0,11.136498891034421,6.510000000002037
603,49078.66,11.24,0.1,V,1.0,10.876498891034421,5.6600000000034925
604,49078.9,11.32,0.1,V,1.0,10.956498891034421,5.900000000001455
592,49076.0,10.77,0.1,V,1.0,10.40649889103442,3.0
594,49076.89,10.719999999999999,0.1,V,1.0,10.35649889103442,3.889999999999418
595,49077.0,10.77,0.1,V,1.0,10.40649889103442,4.0
596,49077.06,10.78,0.1,V,1.0,10.41649889103442,4.059999999997672
597,49077.16,10.82,0.1,V,1.0,10.456498891034421,4.1600000000034925
593,49076.2,10.709999999999999,0.1,V,1.0,10.34649889103442,3.1999999999970896
599,49077.2,10.84,0.1,V,1.0,10.47649889103442,4.19999999999709
600,49077.98,11.04,0.1,V,1.0,10.67649889103442,4.980000000003201
601,49077.98,11.059999999999999,0.1,V,1.0,10.69649889103442,4.980000000003201
602,49078.5,11.23,0.1,V,1.0,10.866498891034421,5.5
598,49077.2,10.82,0.1,V,1.0,10.456498891034421,4.19999999999709
1073,49080.9,11.64,0.1,R,1.0,10.945108111445013,7.900000000001455
1063,49079.2,11.41,0.1,R,1.0,10.85649889103442,6.19999999999709
1072,49080.9,11.620000000000001,0.1,R,1.0,10.925108111445013,7.900000000001455
