MJD,MAG,MAGERR,FLT,Vega
49076.89,9.91,0.1,U,1.0
49076.89,9.95,0.1,U,1.0
49077.06,9.98,0.1,U,1.0
49077.06,10.02,0.1,U,1.0
49077.98,10.53,0.1,U,1.0
49077.98,10.55,0.1,U,1.0
49078.9,11.04,0.1,U,1.0
49078.9,11.05,0.1,U,1.0
49079.08,11.11,0.1,U,1.0
49079.99,11.46,0.1,U,1.0
49079.99,11.48,0.1,U,1.0
49080.16,11.57,0.1,U,1.0
49080.2,11.16,0.1,U,1.0
49080.2,11.43,0.1,U,1.0
49080.9,11.68,0.1,U,1.0
49080.9,11.76,0.1,U,1.0
49081.09,11.78,0.1,U,1.0
49081.09,11.8,0.1,U,1.0
49081.95,11.85,0.1,U,1.0
49082.08,11.88,0.1,U,1.0
49082.91,11.93,0.1,U,1.0
49082.97,11.94,0.1,U,1.0
49083.1,11.92,0.1,U,1.0
49083.1,11.93,0.1,U,1.0
49083.2,11.82,0.1,U,1.0
49083.75,12.0,0.1,U,1.0
49083.99,11.95,0.1,U,1.0
49083.99,11.96,0.1,U,1.0
49084.22,11.84,0.1,U,1.0
49084.22,11.86,0.1,U,1.0
49084.3,11.83,0.1,U,1.0
49085.02,11.88,0.1,U,1.0
49085.02,11.9,0.1,U,1.0
49085.1,11.88,0.1,U,1.0
49085.1,11.89,0.1,U,1.0
49085.24,11.86,0.1,U,1.0
49085.32,11.84,0.1,U,1.0
49085.98,11.78,0.1,U,1.0
49085.98,11.8,0.1,U,1.0
49087.07,11.7,0.1,U,1.0
49087.07,11.72,0.1,U,1.0
49087.16,11.69,0.1,U,1.0
49087.16,11.72,0.1,U,1.0
49087.23,11.67,0.1,U,1.0
49087.23,11.82,0.1,U,1.0
49087.4,11.76,0.1,U,1.0
49087.75,11.7,0.1,U,1.0
49087.89,11.63,0.1,U,1.0
49087.93,11.63,0.1,U,1.0
49088.01,11.63,0.1,U,1.0
49088.01,11.65,0.1,U,1.0
49088.06,11.62,0.1,U,1.0
49088.06,11.66,0.1,U,1.0
49088.21,11.55,0.1,U,1.0
49088.74,11.43,0.1,U,1.0
49089.2,11.44,0.1,U,1.0
49090.2,11.34,0.1,U,1.0
49090.2,11.64,0.1,U,1.0
49090.3,11.65,0.1,U,1.0
49090.87,11.52,0.1,U,1.0
49091.17,11.35,0.1,U,1.0
49091.2,11.32,0.1,U,1.0
49091.3,11.63,0.1,U,1.0
49092.15,11.34,0.1,U,1.0
49093.19,11.34,0.1,U,1.0
49093.2,11.2,0.1,U,1.0
49093.84,11.39,0.1,U,1.0
49093.88,11.32,0.1,U,1.0
49093.89,11.38,0.1,U,1.0
49094.19,11.37,0.1,U,1.0
49094.2,11.32,0.1,U,1.0
49095.15,11.4,0.1,U,1.0
49095.2,11.44,0.1,U,1.0
49095.24,11.42,0.1,U,1.0
49096.15,11.48,0.1,U,1.0
49096.2,11.41,0.1,U,1.0
49096.87,11.32,0.1,U,1.0
49097.15,11.62,0.1,U,1.0
49097.2,11.58,0.1,U,1.0
49098.28,11.78,0.1,U,1.0
49098.85,12.13,0.1,U,1.0
49099.15,11.98,0.1,U,1.0
49099.2,11.63,0.1,U,1.0
49099.81,12.18,0.1,U,1.0
49100.2,12.22,0.1,U,1.0
49100.2,12.68,0.1,U,1.0
49100.3,12.69,0.1,U,1.0
49100.82,12.46,0.1,U,1.0
49101.15,12.52,0.1,U,1.0
49101.77,12.71,0.1,U,1.0
49102.17,12.75,0.1,U,1.0
49102.8,13.03,0.1,U,1.0
49102.91,12.92,0.1,U,1.0
49102.91,12.94,0.1,U,1.0
49102.91,12.95,0.1,U,1.0
49103.25,13.02,0.1,U,1.0
49103.95,13.13,0.1,U,1.0
49104.2,13.58,0.1,U,1.0
49104.3,13.3,0.1,U,1.0
49104.3,13.58,0.1,U,1.0
49104.91,13.33,0.1,U,1.0
49105.2,13.75,0.1,U,1.0
49105.3,13.43,0.1,U,1.0
49105.87,13.45,0.1,U,1.0
49105.87,13.47,0.1,U,1.0
49106.2,13.51,0.1,U,1.0
49106.2,13.56,0.1,U,1.0
49106.3,13.57,0.1,U,1.0
49106.9,13.63,0.1,U,1.0
49107.3,13.62,0.1,U,1.0
49107.88,13.7,0.1,U,1.0
49107.88,13.72,0.1,U,1.0
49108.2,13.64,0.1,U,1.0
49108.2,14.35,0.1,U,1.0
49109.2,13.77,0.1,U,1.0
49109.2,14.41,0.1,U,1.0
49110.2,13.61,0.1,U,1.0
49110.2,13.82,0.1,U,1.0
49111.3,13.66,0.1,U,1.0
49112.2,13.78,0.1,U,1.0
49112.89,14.07,0.1,U,1.0
49112.89,14.1,0.1,U,1.0
49114.2,13.74,0.1,U,1.0
49116.2,14.39,0.1,U,1.0
49116.3,13.88,0.1,U,1.0
49117.3,13.78,0.1,U,1.0
49121.3,13.74,0.1,U,1.0
49121.9,14.43,0.1,U,1.0
49121.9,14.45,0.1,U,1.0
49122.3,13.89,0.1,U,1.0
49122.9,14.37,0.1,U,1.0
49123.3,13.71,0.1,U,1.0
49124.3,13.71,0.1,U,1.0
49129.3,13.97,0.1,U,1.0
49129.88,14.4,0.1,U,1.0
49129.88,14.41,0.1,U,1.0
49130.3,14.01,0.1,U,1.0
49131.91,14.44,0.1,U,1.0
49131.91,14.46,0.1,U,1.0
49132.88,14.41,0.1,U,1.0
49132.88,14.43,0.1,U,1.0
49141.3,14.17,0.1,U,1.0
49146.2,14.06,0.1,U,1.0
49147.2,14.21,0.1,U,1.0
49147.3,14.4,0.1,U,1.0
49149.3,14.07,0.1,U,1.0
49150.2,14.09,0.1,U,1.0
49151.2,14.05,0.1,U,1.0
49152.3,14.05,0.1,U,1.0
49154.3,14.04,0.1,U,1.0
49156.3,14.09,0.1,U,1.0
49157.3,13.98,0.1,U,1.0
49157.9,14.33,0.1,U,1.0
49158.3,13.89,0.1,U,1.0
49158.94,14.37,0.1,U,1.0
49159.92,14.35,0.1,U,1.0
49160.3,13.83,0.1,U,1.0
49161.2,13.88,0.1,U,1.0
49161.92,14.36,0.1,U,1.0
49162.2,14.05,0.1,U,1.0
49163.2,14.08,0.1,U,1.0
49164.2,14.05,0.1,U,1.0
49165.2,14.55,0.1,U,1.0
49166.2,14.19,0.1,U,1.0
49167.2,14.09,0.1,U,1.0
49167.2,14.41,0.1,U,1.0
49168.2,14.19,0.1,U,1.0
49168.2,14.41,0.1,U,1.0
49169.2,14.14,0.1,U,1.0
49169.2,14.35,0.1,U,1.0
49170.2,14.33,0.1,U,1.0
49170.2,14.35,0.1,U,1.0
49172.2,14.44,0.1,U,1.0
49173.2,14.09,0.1,U,1.0
49173.2,14.37,0.1,U,1.0
49174.2,14.37,0.1,U,1.0
49179.2,14.58,0.1,U,1.0
49181.2,14.48,0.1,U,1.0
49183.94,14.48,0.1,U,1.0
49198.93,14.72,0.1,U,1.0
49245.88,15.19,0.1,U,1.0
49297.95,16.32,0.1,U,1.0
49323.2,16.8,0.1,U,1.0
49385.04,17.54,0.1,U,1.0
49406.94,17.74,0.1,U,1.0
49428.03,17.82,0.1,U,1.0
49461.92,18.11,0.1,U,1.0
49498.91,18.27,0.1,U,1.0
49513.95,18.05,0.1,U,1.0
49737.14,18.64,0.1,U,1.0
49831.95,18.45,0.1,U,1.0
49076.0,10.8,0.1,B,1.0
49076.89,10.77,0.1,B,1.0
49076.89,10.78,0.1,B,1.0
49077.0,10.8,0.1,B,1.0
49077.06,10.85,0.1,B,1.0
49077.16,10.9,0.1,B,1.0
49077.2,10.91,0.1,B,1.0
49077.2,10.93,0.1,B,1.0
49077.98,11.21,0.1,B,1.0
49078.5,11.49,0.1,B,1.0
49078.9,11.56,0.1,B,1.0
49078.9,11.57,0.1,B,1.0
49079.08,11.66,0.1,B,1.0
49079.2,11.75,0.1,B,1.0
49079.51,11.83,0.1,B,1.0
49079.99,11.91,0.1,B,1.0
49079.99,11.93,0.1,B,1.0
49080.16,11.93,0.1,B,1.0
49080.16,11.99,0.1,B,1.0
49080.2,12.02,0.1,B,1.0
49080.53,12.25,0.1,B,1.0
49080.9,12.12,0.1,B,1.0
49080.9,12.14,0.1,B,1.0
49081.09,12.19,0.1,B,1.0
49081.09,12.23,0.1,B,1.0
49081.78,12.12,0.1,B,1.0
49081.95,12.28,0.1,B,1.0
49082.08,12.28,0.1,B,1.0
49082.08,12.29,0.1,B,1.0
49082.17,12.25,0.1,B,1.0
49082.19,12.31,0.1,B,1.0
49082.24,12.26,0.1,B,1.0
49082.27,12.27,0.1,B,1.0
49082.31,12.28,0.1,B,1.0
49082.33,12.26,0.1,B,1.0
49082.34,12.25,0.1,B,1.0
49082.35,12.23,0.1,B,1.0
49082.54,12.31,0.1,B,1.0
49082.91,12.26,0.1,B,1.0
49082.91,12.27,0.1,B,1.0
49082.97,12.25,0.1,B,1.0
49082.97,12.27,0.1,B,1.0
49083.0,12.26,0.1,B,1.0
49083.02,12.25,0.1,B,1.0
49083.1,12.24,0.1,B,1.0
49083.1,12.26,0.1,B,1.0
49083.1,12.27,0.1,B,1.0
49083.2,12.23,0.1,B,1.0
49083.59,12.25,0.1,B,1.0
49083.75,12.16,0.1,B,1.0
49083.99,12.21,0.1,B,1.0
49084.07,12.17,0.1,B,1.0
49084.1,12.16,0.1,B,1.0
49084.22,12.16,0.1,B,1.0
49084.3,12.13,0.1,B,1.0
49084.67,12.18,0.1,B,1.0
49085.0,12.09,0.1,B,1.0
49085.02,12.06,0.1,B,1.0
49085.02,12.07,0.1,B,1.0
49085.08,12.06,0.1,B,1.0
49085.08,12.08,0.1,B,1.0
49085.1,12.06,0.1,B,1.0
49085.19,12.06,0.1,B,1.0
49085.22,12.09,0.1,B,1.0
49085.24,12.07,0.1,B,1.0
49085.32,12.05,0.1,B,1.0
49085.62,12.05,0.1,B,1.0
49085.98,11.93,0.1,B,1.0
49085.98,11.95,0.1,B,1.0
49087.07,11.82,0.1,B,1.0
49087.07,11.84,0.1,B,1.0
49087.16,11.82,0.1,B,1.0
49087.18,11.8,0.1,B,1.0
49087.23,11.82,0.1,B,1.0
