,MJD,MAG,MAGERR,FLT,Vega,RMAG,MJD_S
474,55716.682,20.156,0.044,W2,1.0,18.139799436021324,3.982000000003609
473,55716.014,19.926000000000002,0.038,W2,1.0,17.909799436021327,3.3140000000057626
397,55716.693,19.719,0.053,M2,1.0,17.744665804681073,3.993000000002212
396,55716.026,19.481,0.044,M2,1.0,17.506665804681074,3.3260000000009313
435,55716.674,18.707,0.036,W1,1.0,17.00139379604982,3.974000000001979
434,55716.004,18.55,0.034,W1,1.0,16.84439379604982,3.3040000000037253
346,55716.678,17.342,0.034,us,1.0,16.17098153503057,3.978000000002794
345,55716.009,17.201,0.032,us,1.0,16.029981535030572,3.309000000001106
77,55713.691,13.18,0.008,g,0.0,13.104841757273977,0.9910000000018044
78,55713.734,13.2,0.009,g,0.0,13.124841757273977,1.0339999999996508
79,55714.793,14.12,0.009,g,0.0,14.002029147427017,2.0930000000007567
80,55715.752,14.93,0.008,g,0.0,14.812029147427017,3.052000000003318
81,55715.795,14.95,0.007,g,0.0,14.832029147427017,3.095000000001164
82,55715.846,14.95,0.007,g,0.0,14.832029147427017,3.1460000000006403
83,55715.89,14.91,0.01,g,0.0,14.792029147427018,3.1900000000023283
271,55716.287,15.111,0.028,vs,1.0,15.024844310276853,3.5869999999995343
0,55713.393,13.03,0.028,R,0.0,12.954841757273977,0.6929999999993015
299,55714.28,13.667,0.027,R,0.0,13.591841757273977,1.5800000000017462
298,55714.276,13.677,0.026,R,0.0,13.601841757273977,1.5760000000009313
2,55714.355,13.71,0.02,R,0.0,13.634841757273978,1.6550000000061118
1,55714.4,13.47,0.053,R,0.0,13.342687453521062,1.7000000000043656
300,55716.365,14.604,0.007,R,0.0,14.528841757273977,3.665000000000873
244,55716.283,14.766,0.022,R,0.0,14.690841757273978,3.5830000000059954
217,55716.285,14.568,0.047,I,0.0,14.514757328110335,3.585000000006403
