MJD,MAG,MAGERR,FLT,Vega
55713.393,13.03,0.028,R,0.0
55714.4,13.47,0.053,R,0.0
55714.355,13.71,0.02,R,0.0
55716.73,15.33,0.101,bs,1.0
55716.813,15.34,0.053,bs,1.0
55716.84,15.31,0.099,bs,1.0
55716.87,15.3,0.099,bs,1.0
55718.668,14.817,0.092,bs,1.0
55718.67,14.81,0.1,bs,1.0
55719.67,14.48,0.099,bs,1.0
55719.69,14.47,0.099,bs,1.0
55719.7,14.46,0.099,bs,1.0
55719.71,14.43,0.099,bs,1.0
55719.714,14.48,0.034,bs,1.0
55719.73,14.46,0.099,bs,1.0
55719.74,14.46,0.099,bs,1.0
55719.76,14.47,0.099,bs,1.0
55723.669,13.757,0.091,bs,1.0
55723.67,13.74,0.099,bs,1.0
55727.68,13.47,0.099,bs,1.0
55727.689,13.482,0.064,bs,1.0
55727.7,13.46,0.099,bs,1.0
55728.688,13.457,0.091,bs,1.0
55728.69,13.42,0.099,bs,1.0
55729.677,13.417,0.091,bs,1.0
55729.68,13.4,0.099,bs,1.0
55730.711,13.377,0.064,bs,1.0
55732.713,13.263,0.052,bs,1.0
55733.698,13.32,0.057,bs,1.0
55734.759,13.37,0.07,bs,1.0
55735.677,13.44,0.099,bs,1.0
55736.755,13.583,0.049,bs,1.0
55738.7,13.83,0.07,bs,1.0
55739.814,13.96,0.07,bs,1.0
55740.687,14.12,0.057,bs,1.0
55741.693,14.277,0.058,bs,1.0
55743.713,14.507,0.071,bs,1.0
55745.781,14.629,0.051,bs,1.0
55747.721,14.893,0.059,bs,1.0
55749.697,15.017,0.058,bs,1.0
55751.69,15.11,0.058,bs,1.0
55752.709,15.147,0.045,bs,1.0
55753.736,15.175,0.041,bs,1.0
55755.702,15.287,0.058,bs,1.0
55757.679,15.353,0.059,bs,1.0
55758.677,15.367,0.058,bs,1.0
55759.709,15.35,0.058,bs,1.0
55761.695,15.43,0.058,bs,1.0
55764.698,15.462,0.071,bs,1.0
55765.714,15.527,0.107,bs,1.0
55768.68,15.532,0.072,bs,1.0
55770.688,15.527,0.071,bs,1.0
55771.705,15.552,0.071,bs,1.0
55716.798,14.662,0.009,i,0.0
55718.682,14.127,0.016,i,0.0
55719.719,13.807,0.009,i,0.0
55720.7,13.587,0.016,i,0.0
55727.701,12.617,0.011,i,0.0
55728.679,12.587,0.016,i,0.0
55730.712,12.463,0.009,i,0.0
55741.695,12.542,0.011,i,0.0
55743.711,12.563,0.009,i,0.0
55745.782,12.657,0.007,i,0.0
55747.731,12.797,0.009,i,0.0
55749.708,12.887,0.009,i,0.0
55751.7,12.933,0.009,i,0.0
55752.71,12.977,0.008,i,0.0
55753.746,13.005,0.006,i,0.0
55755.724,13.103,0.009,i,0.0
55758.72,13.207,0.009,i,0.0
55759.72,13.187,0.009,i,0.0
55761.707,13.273,0.009,i,0.0
55764.709,13.377,0.011,i,0.0
55765.735,13.407,0.011,i,0.0
55768.692,13.452,0.011,i,0.0
55770.7,13.497,0.011,i,0.0
55771.727,13.527,0.011,i,0.0
55713.691,13.18,0.008,g,0.0
55713.734,13.2,0.009,g,0.0
55714.793,14.12,0.009,g,0.0
55715.752,14.93,0.008,g,0.0
55715.795,14.95,0.007,g,0.0
55715.846,14.95,0.007,g,0.0
55715.89,14.91,0.01,g,0.0
55716.72,14.92,0.006,g,0.0
55716.771,14.9,0.006,g,0.0
55716.814,14.89,0.008,g,0.0
55717.726,14.62,0.007,g,0.0
55717.777,14.6,0.007,g,0.0
55717.821,14.59,0.005,g,0.0
55719.823,13.99,0.009,g,0.0
55719.867,13.96,0.008,g,0.0
55720.726,13.78,0.01,g,0.0
55720.777,13.75,0.009,g,0.0
55720.82,13.73,0.009,g,0.0
55736.691,13.01,0.018,g,0.0
55736.734,13.0,0.009,g,0.0
55737.707,13.11,0.025,g,0.0
55737.751,13.11,0.015,g,0.0
55738.682,13.22,0.015,g,0.0
55738.727,13.18,0.012,g,0.0
55739.688,13.28,0.007,g,0.0
55739.733,13.32,0.011,g,0.0
55740.677,13.4,0.014,g,0.0
55740.729,13.42,0.01,g,0.0
55741.677,13.52,0.009,g,0.0
55741.72,13.51,0.009,g,0.0
55742.682,13.62,0.006,g,0.0
55742.74,13.64,0.008,g,0.0
55743.677,13.76,0.01,g,0.0
55743.721,13.74,0.009,g,0.0
55744.68,13.83,0.008,g,0.0
55744.734,13.84,0.006,g,0.0
55745.681,13.91,0.008,g,0.0
55745.724,13.9,0.008,g,0.0
55746.694,13.93,0.014,g,0.0
55746.736,13.99,0.007,g,0.0
55747.681,14.05,0.007,g,0.0
55747.724,14.05,0.008,g,0.0
55748.739,14.05,0.013,g,0.0
55752.753,14.31,0.008,g,0.0
55752.797,14.31,0.008,g,0.0
55776.662,14.73,0.008,g,0.0
55776.711,14.78,0.01,g,0.0
55777.661,14.8,0.007,g,0.0
55777.719,14.85,0.007,g,0.0
55778.66,14.8,0.007,g,0.0
55778.703,14.86,0.007,g,0.0
55721.827,13.2,0.004,R,0.0
55722.781,13.05,0.008,R,0.0
55722.825,13.05,0.006,R,0.0
55723.805,12.95,0.008,R,0.0
55723.856,12.94,0.007,R,0.0
55724.757,12.8,0.007,R,0.0
55724.802,12.79,0.005,R,0.0
55725.703,12.75,0.019,R,0.0
55725.791,12.75,0.04,R,0.0
55750.676,13.13,0.015,R,0.0
55750.719,13.08,0.015,R,0.0
55751.684,13.14,0.023,R,0.0
55751.728,13.18,0.027,R,0.0
55753.676,13.21,0.018,R,0.0
55753.72,13.21,0.007,R,0.0
55754.678,13.22,0.018,R,0.0
55754.721,13.24,0.015,R,0.0
55755.675,13.29,0.01,R,0.0
55757.696,13.34,0.024,R,0.0
55757.739,13.35,0.01,R,0.0
55758.675,13.4,0.01,R,0.0
55758.718,13.4,0.006,R,0.0
55759.688,13.41,0.006,R,0.0
55759.731,13.41,0.007,R,0.0
55760.711,13.45,0.006,R,0.0
55761.673,13.48,0.006,R,0.0
55761.719,13.48,0.008,R,0.0
55762.697,13.49,0.007,R,0.0
55762.741,13.49,0.006,R,0.0
55763.671,13.53,0.007,R,0.0
55763.715,13.52,0.007,R,0.0
55764.673,13.56,0.006,R,0.0
55764.721,13.56,0.004,R,0.0
55765.681,13.57,0.009,R,0.0
55765.726,13.57,0.007,R,0.0
55766.685,13.6,0.016,R,0.0
55766.731,13.61,0.006,R,0.0
55768.687,13.66,0.012,R,0.0
55768.73,13.66,0.011,R,0.0
55769.686,13.66,0.007,R,0.0
55770.676,13.67,0.02,R,0.0
55770.733,13.69,0.01,R,0.0
55771.676,13.71,0.006,R,0.0
55771.766,13.73,0.01,R,0.0
55772.679,13.73,0.014,R,0.0
55772.731,13.72,0.009,R,0.0
55774.674,13.78,0.009,R,0.0
55774.717,13.8,0.01,R,0.0
55775.673,13.8,0.011,R,0.0
55775.72,13.79,0.009,R,0.0
55779.679,13.87,0.012,R,0.0
55779.721,13.87,0.01,R,0.0
55780.71,13.9,0.005,R,0.0
55781.684,13.94,0.007,R,0.0
55781.733,13.91,0.005,R,0.0
55782.663,13.96,0.005,R,0.0
55782.707,13.95,0.008,R,0.0
55783.66,13.95,0.005,R,0.0
55783.703,13.97,0.004,R,0.0
55784.659,14.01,0.006,R,0.0
55784.703,13.97,0.005,R,0.0
55789.656,14.07,0.009,R,0.0
55789.699,14.11,0.006,R,0.0
55790.654,14.13,0.006,R,0.0
55790.697,14.11,0.008,R,0.0
55718.683,13.597,0.11,H,0.0
55719.682,13.378,0.115,H,0.0
55720.693,13.156,0.105,H,0.0
55721.693,13.006,0.073,H,0.0
55722.69,12.9,0.083,H,0.0
55723.678,12.597,0.069,H,0.0
55724.675,12.474,0.046,H,0.0
55725.651,12.468,0.072,H,0.0
55718.688,13.272,0.049,J,0.0
55719.695,13.079,0.042,J,0.0
55720.692,12.998,0.063,J,0.0
55721.686,12.739,0.051,J,0.0
55722.677,12.87,0.086,J,0.0
55723.689,12.447,0.033,J,0.0
55724.683,12.368,0.048,J,0.0
55725.653,12.187,0.051,J,0.0
55718.688,13.709,0.209,K,0.0
55719.697,13.237,0.184,K,0.0
55720.692,13.078,0.184,K,0.0
55721.693,13.101,0.13,K,0.0
55722.677,12.802,0.168,K,0.0
55723.68,12.409,0.19,K,0.0
55724.674,12.396,0.247,K,0.0
55725.643,12.509,0.17,K,0.0
55716.285,14.568,0.047,I,0.0
55717.282,14.421,0.046,I,0.0
55718.275,14.206,0.047,I,0.0
55719.276,13.925,0.031,I,0.0
55720.287,13.651,0.03,I,0.0
55721.28,13.482,0.03,I,0.0
55722.281,13.306,0.03,I,0.0
55723.277,13.125,0.03,I,0.0
55724.289,13.007,0.03,I,0.0
55732.25,12.437,0.048,I,0.0
55733.249,12.393,0.059,I,0.0
55734.281,12.361,0.038,I,0.0
55735.248,12.333,0.049,I,0.0
55736.248,12.317,0.048,I,0.0
55737.238,12.353,0.048,I,0.0
55738.249,12.393,0.049,I,0.0
55739.25,12.437,0.048,I,0.0
55740.249,12.46,0.048,I,0.0
55741.255,12.5,0.049,I,0.0
55743.247,12.573,0.049,I,0.0
55744.248,12.59,0.048,I,0.0
55745.247,12.617,0.048,I,0.0
55746.246,12.673,0.048,I,0.0
55747.247,12.74,0.049,I,0.0
55748.243,12.777,0.049,I,0.0
55749.245,12.783,0.049,I,0.0
55750.256,12.797,0.049,I,0.0
55716.283,14.766,0.022,R,0.0
55717.279,14.536,0.021,R,0.0
55718.272,14.281,0.02,R,0.0
55719.274,13.915,0.013,R,0.0
55720.285,13.608,0.013,R,0.0
55721.278,13.483,0.013,R,0.0
55722.279,13.317,0.013,R,0.0
55723.275,13.14,0.013,R,0.0
55724.286,12.985,0.013,R,0.0
55732.249,12.55,0.021,R,0.0
55733.247,12.498,0.025,R,0.0
55734.28,12.471,0.016,R,0.0
55735.247,12.503,0.021,R,0.0
55736.247,12.507,0.021,R,0.0
55737.236,12.5,0.021,R,0.0
55738.248,12.563,0.021,R,0.0
55739.249,12.683,0.021,R,0.0
55740.247,12.7,0.021,R,0.0
55741.254,12.77,0.021,R,0.0
55743.246,12.87,0.021,R,0.0
55744.247,12.893,0.021,R,0.0
55745.246,12.933,0.021,R,0.0
55746.245,13.013,0.021,R,0.0
55747.246,13.113,0.021,R,0.0
55748.242,13.19,0.021,R,0.0
55749.244,13.16,0.021,R,0.0
55750.255,13.177,0.021,R,0.0
55716.287,15.121,0.028,vs,1.0
55717.277,14.888,0.026,vs,1.0
55718.27,14.576,0.025,vs,1.0
55719.271,14.223,0.015,vs,1.0
55720.279,13.919,0.015,vs,1.0
55721.276,13.773,0.014,vs,1.0
55722.276,13.567,0.014,vs,1.0
55723.273,13.412,0.014,vs,1.0
55724.284,13.286,0.014,vs,1.0
55732.248,12.827,0.022,vs,1.0
55733.246,12.808,0.027,vs,1.0
55734.288,12.808,0.019,vs,1.0
55735.246,12.83,0.022,vs,1.0
55736.246,12.85,0.022,vs,1.0
55737.235,12.893,0.022,vs,1.0
55738.247,12.98,0.022,vs,1.0
