,MJD,MAG,MAGERR,FLT,Vega,RMAG,MJD_S
171,55831.5,17.34,0.06,u,0,16.840943967364556,7.0
172,55833.5,17.93,0.04,u,0,17.430943967364556,9.0
173,55834.6,18.28,0.06,u,0,17.780943967364557,10.099999999998545
0,55830.5,17.31,0.02,U,0,17.163157011901394,6.0
1,55831.4,17.22,0.03,U,0,16.796787416000235,6.900000000001455
2,55834.5,18.65,0.03,U,0,18.150943967364555,10.0
10,55830.5,17.01,0.02,B,0,16.83309692888273,6.0
11,55831.4,17.22,0.02,B,0,16.796787416000235,6.900000000001455
12,55831.5,17.31,0.02,B,0,17.163157011901394,7.0
13,55833.5,17.76,0.02,B,0,17.336787416000238,9.0
14,55834.5,17.84,0.02,B,0,17.416787416000236,10.0
15,55834.6,17.82,0.02,B,0,17.504228120821196,10.099999999998545
52,55834.6,17.57,0.02,V,0,17.254228120821196,10.099999999998545
51,55834.5,17.59,0.01,V,0,17.274228120821196,10.0
50,55833.5,17.43,0.03,V,0,17.253096928882727,9.0
46,55830.5,16.85,0.01,V,0,16.673096928882728,6.0
48,55831.4,17.04,0.01,V,0,16.863096928882726,6.900000000001455
47,55831.2,17.11,0.15,V,0,16.933096928882726,6.69999999999709
45,55828.4,16.47,0.24,V,0,16.154228120821195,3.900000000001455
44,55826.4,16.23,0.15,V,0,15.914228120821196,1.9000000000014552
43,55825.2,16.34,0.14,V,0,16.024228120821196,0.6999999999970896
49,55831.5,17.21,0.01,V,0,17.033096928882728,7.0
102,55834.5,17.49,0.02,R,0,17.240280677394182,10.0
103,55834.6,17.32,0.02,R,0,17.143096928882727,10.099999999998545
101,55833.5,17.33,0.04,R,0,17.08028067739418,9.0
95,55825.5,16.28,0.13,R,0,16.030280677394185,1.0
99,55831.4,17.01,0.02,R,0,16.83309692888273,6.900000000001455
98,55830.5,16.86,0.02,R,0,16.713157011901394,6.0
97,55828.3,16.48,0.02,R,0,16.230280677394184,3.8000000000029104
96,55826.4,16.22,0.08,R,0,15.970280677394182,1.9000000000014552
100,55831.5,16.99,0.04,R,0,16.813096928882725,7.0
133,55830.5,16.97,0.02,I,0,16.793096928882726,6.0
134,55831.4,17.07,0.02,I,0,16.893096928882727,6.900000000001455
135,55831.5,17.37,0.03,I,0,17.193096928882728,7.0
136,55833.5,17.29,0.03,I,0,17.143157011901394,9.0
137,55834.5,17.45,0.02,I,0,17.273096928882726,10.0
138,55834.6,17.32,0.03,I,0,17.143096928882727,10.099999999998545
186,55833.5,17.15,0.04,z,0,17.003157011901394,9.0
185,55831.5,16.91,0.03,z,0,16.763157011901395,7.0
187,55834.6,17.31,0.03,z,0,17.163157011901394,10.099999999998545
