MJD,MAG,MAGERR,FLT,Vega
55830.5,17.31,0.02,U,0
55831.4,17.22,0.03,U,0
55834.5,18.65,0.03,U,0
55836.4,18.53,0.06,U,0
55838.5,18.75,0.06,U,0
55840.2,0.79,0,U,0
55840.5,0.79,0,U,0
55841.4,18.24,0.04,U,0
55851.5,18.91,0.1,U,0
55862.5,20.49,0.05,U,0
55830.5,17.01,0.02,B,0
55831.4,17.22,0.02,B,0
55831.5,17.31,0.02,B,0
55833.5,17.76,0.02,B,0
55834.5,17.84,0.02,B,0
55834.6,17.82,0.02,B,0
55835.4,17.88,0.02,B,0
55835.5,17.86,0.01,B,0
55836.4,17.87,0.02,B,0
55837.5,17.82,0.02,B,0
55838.5,17.75,0.02,B,0
55840.5,17.7,0.02,B,0
55841.4,17.55,0.03,B,0
55841.5,17.51,0.03,B,0
55844.5,17.49,0.02,B,0
55845.5,17.51,0.04,B,0
55846.5,17.38,0.03,B,0
55847.5,17.44,0.04,B,0
55848.5,17.49,0.07,B,0
55849.5,17.64,0.03,B,0
55851.5,17.78,0.03,B,0
55852.5,17.96,0.02,B,0
55857.6,18.63,0.03,B,0
55858.6,18.61,0.02,B,0
55859.5,18.69,0.04,B,0
55860.5,18.72,0.04,B,0
55861.5,18.82,0.04,B,0
55862.5,19.01,0.03,B,0
55862.5,18.99,0.04,B,0
55863.5,18.97,0.04,B,0
55864.5,18.98,0.07,B,0
55864.5,18.88,0.06,B,0
55866.5,19.01,0.06,B,0
55825.2,16.34,0.14,V,0
55826.4,16.23,0.15,V,0
55828.4,16.47,0.24,V,0
55830.5,16.85,0.01,V,0
55831.2,17.11,0.15,V,0
55831.4,17.04,0.01,V,0
55831.5,17.21,0.01,V,0
55833.5,17.43,0.03,V,0
55834.5,17.59,0.01,V,0
55834.6,17.57,0.02,V,0
55835.3,17.42,0.14,V,0
55835.4,17.57,0.02,V,0
55835.5,17.57,0.03,V,0
55836.4,17.53,0.01,V,0
55837.5,17.48,0.03,V,0
55838.5,17.39,0.01,V,0
55840.2,17.36,0.18,V,0
55840.5,17.28,0.02,V,0
55841.4,17.19,0.02,V,0
55841.5,17.26,0.05,V,0
55842.5,17.1,0.02,V,0
55843.3,16.98,0.15,V,0
55844.5,17.01,0.03,V,0
55844.5,16.92,0.06,V,0
55845.5,16.99,0.03,V,0
55845.5,16.96,0.04,V,0
55845.5,16.96,0.02,V,0
55846.5,16.94,0.04,V,0
55846.5,0.02,0,V,0
55847.5,16.92,0.04,V,0
55848.5,16.94,0.06,V,0
55849.5,16.98,0.03,V,0
55851.4,17.09,0.07,V,0
55851.5,17.1,0.02,V,0
55852.5,17.16,0.02,V,0
55853.2,17.32,0.13,V,0
55853.4,17.26,0.07,V,0
55857.2,17.45,0.12,V,0
55857.6,17.59,0.03,V,0
55858.2,17.43,0.14,V,0
55858.6,17.63,0.01,V,0
55859.2,17.49,0.13,V,0
55859.5,17.65,0.03,V,0
55860.4,17.81,0.05,V,0
55860.5,17.7,0.03,V,0
55861.5,17.81,0.03,V,0
55862.5,17.79,0.02,V,0
55862.5,17.82,0.03,V,0
55863.5,17.85,0.03,V,0
55864.5,17.82,0.05,V,0
55864.5,17.91,0.03,V,0
55866.5,17.99,0.03,V,0
55825.5,16.28,0.13,R,0
55826.4,16.22,0.08,R,0
55828.3,16.48,0.02,R,0
55830.5,16.86,0.02,R,0
55831.4,17.01,0.02,R,0
55831.5,16.99,0.04,R,0
55833.5,17.33,0.04,R,0
55834.5,17.49,0.02,R,0
55834.6,17.32,0.02,R,0
55835.4,17.45,0.01,R,0
55835.5,17.29,0.03,R,0
55836.4,17.4,0.01,R,0
55837.5,17.28,0.43,R,0
55838.5,17.27,0.01,R,0
55840.5,17.12,0.03,R,0
55841.4,16.99,0.02,R,0
55841.5,16.98,0.06,R,0
55844.5,16.85,0.03,R,0
55845.5,16.82,0.07,R,0
55845.5,16.83,0.03,R,0
55846.5,16.78,0.03,R,0
55846.5,16.79,0.05,R,0
55847.5,16.75,0.04,R,0
55848.5,16.73,0.06,R,0
55849.5,16.75,0.06,R,0
55851.5,16.87,0.02,R,0
55852.5,16.84,0.03,R,0
55857.6,17.04,0.06,R,0
55858.6,17.19,0.01,R,0
55859.5,17.13,0.06,R,0
55860.5,17.18,0.06,R,0
55861.5,17.2,0.06,R,0
55862.5,17.34,0.02,R,0
55862.5,17.42,0.02,R,0
55863.5,17.35,0.06,R,0
55864.5,17.47,0.06,R,0
55864.5,17.41,0.03,R,0
55866.5,17.52,0.02,R,0
55830.5,16.97,0.02,I,0
55831.4,17.07,0.02,I,0
55831.5,17.37,0.03,I,0
55833.5,17.29,0.03,I,0
55834.5,17.45,0.02,I,0
55834.6,17.32,0.03,I,0
55835.4,17.43,0.05,I,0
55835.5,17.47,0.03,I,0
55836.4,17.47,0.03,I,0
55837.5,17.28,0.05,I,0
55838.5,17.35,0.03,I,0
55840.5,17.09,0.04,I,0
55841.4,17.16,0.06,I,0
55841.5,16.99,0.05,I,0
55844.5,16.91,0.03,I,0
55844.5,17.11,0.05,I,0
55845.5,16.85,0.05,I,0
55845.5,17.01,0.03,I,0
55846.5,16.84,0.03,I,0
55846.5,16.95,0.06,I,0
55847.5,16.9,0.03,I,0
55848.5,16.81,0.04,I,0
55849.5,16.82,0.04,I,0
55851.4,17.01,0.04,I,0
55851.5,17.01,0.04,I,0
55852.5,16.89,0.03,I,0
55853.4,16.98,0.04,I,0
55857.6,17.04,0.04,I,0
55858.6,17.18,0.03,I,0
55859.5,17.15,0.04,I,0
55860.4,17.34,0.04,I,0
55860.5,17.12,0.04,I,0
55861.5,17.53,0.04,I,0
55862.5,17.09,0.01,I,0
55862.5,17.21,0.02,I,0
55863.5,17.19,0.04,I,0
55864.5,17.46,0.03,I,0
55866.5,17.48,0.03,I,0
55831.5,17.34,0.06,u,0
55833.5,17.93,0.04,u,0
55834.6,18.28,0.06,u,0
55835.5,18.36,0.09,u,0
55840.5,18.29,0.04,u,0
55844.5,18.14,0.03,u,0
55845.5,18.41,0.13,u,0
55846.5,18.62,0.11,u,0
55847.5,18.66,0.03,u,0
55848.5,18.65,0.11,u,0
55849.5,18.73,0.1,u,0
55852.5,19.13,0.1,u,0
55862.5,20.28,0.03,u,0
55863.5,20.15,0.07,u,0
55831.5,16.91,0.03,z,0
55833.5,17.15,0.04,z,0
55834.6,17.31,0.03,z,0
55835.5,17.24,0.03,z,0
55837.5,17.2,0.05,z,0
55840.5,17.03,0.04,z,0
55842.5,16.94,0.06,z,0
55844.5,16.86,0.03,z,0
55845.5,16.82,0.05,z,0
55846.5,16.84,0.03,z,0
55847.5,16.88,0.05,z,0
55848.5,16.9,0.05,z,0
55849.5,16.76,0.05,z,0
55852.5,16.86,0.03,z,0
55857.6,17,0.05,z,0
55859.5,17.08,0.05,z,0
55860.5,17.06,0.05,z,0
55861.5,17.13,0.05,z,0
55862.5,17.2,0.02,z,0
55863.5,17.19,0.04,z,0
55864.5,17.29,0.04,z,0
55866.6,17.23,0.02,z,0
55872.6,17.39,0.05,z,0
55888.5,17.64,0.06,z,0
55896.4,17.89,0.05,z,0
55908.4,18.05,0.05,z,0
55936.5,18.61,0.07,z,0
55942.3,18.68,0.08,z,0
55954.4,18.79,0.07,z,0
55981.4,19.36,0.16,z,0
