MJD,MAG,MAGERR,FLT,Vega
56456.9,15.57,0.08,W2,1
56459.35,16.32,0.08,W2,1
56460.17,16.35,0.08,W2,1
56461.75,16.67,0.09,W2,1
56462.82,16.73,0.1,W2,1
56463.82,16.81,0.09,W2,1
56466.19,16.82,0.09,W2,1
56467.97,16.91,0.09,W2,1
56469.56,17.08,0.09,W2,1
56474.29,17.25,0.09,W2,1
56475.91,17.49,0.09,W2,1
56478.13,17.68,0.11,W2,1
56479.76,17.7,0.1,W2,1
56481.76,17.76,0.1,W2,1
56484.25,18.18,0.14,W2,1
56486.33,17.97,0.13,W2,1
56487.64,17.84,0.11,W2,1
56489.75,18.2,0.17,W2,1
56496.68,18.29,0.11,W2,1
56501.03,18.25,0.17,W2,1
56504.73,18.23,0.1,W2,1
56509.43,18.83,0.39,W2,1
56511.01,18.49,0.11,W2,1
56456.9,15.21,0.06,M2,1
56459.35,16.0,0.07,M2,1
56460.17,16.1,0.07,M2,1
56463.82,16.58,0.07,M2,1
56466.19,16.45,0.08,M2,1
56467.97,16.63,0.09,M2,1
56469.56,16.81,0.08,M2,1
56474.29,16.99,0.08,M2,1
56475.91,17.15,0.09,M2,1
56478.13,17.39,0.09,M2,1
56479.76,17.54,0.09,M2,1
56481.76,17.43,0.09,M2,1
56484.25,17.72,0.14,M2,1
56486.33,17.73,0.12,M2,1
56487.64,17.67,0.11,M2,1
56489.75,17.73,0.14,M2,1
56496.68,18.11,0.09,M2,1
56501.03,18.01,0.15,M2,1
56504.73,18.28,0.1,M2,1
56509.43,18.68,0.32,M2,1
56511.01,18.24,0.09,M2,1
56456.9,14.77,0.06,W1,1
56459.35,15.5,0.07,W1,1
56460.17,15.37,0.07,W1,1
56463.82,15.72,0.07,W1,1
56466.19,15.79,0.07,W1,1
56467.97,15.76,0.07,W1,1
56469.56,15.95,0.07,W1,1
56474.29,16.15,0.07,W1,1
56475.91,16.43,0.07,W1,1
56478.13,16.44,0.08,W1,1
56479.76,16.6,0.08,W1,1
56481.76,16.81,0.09,W1,1
56484.25,17.01,0.09,W1,1
56486.33,16.96,0.1,W1,1
56487.64,17.11,0.09,W1,1
56489.75,17.16,0.09,W1,1
56496.68,17.39,0.09,W1,1
56501.03,17.44,0.11,W1,1
56504.73,17.57,0.09,W1,1
56509.43,17.39,0.22,W1,1
56511.01,17.59,0.09,W1,1
56456.42,14.11,0.06,U,0.0
56456.9,14.15,0.05,U,0.0
56458.43,14.66,0.03,U,0.0
56459.35,14.79,0.05,U,0.0
56459.43,14.67,0.05,U,0.0
56460.42,14.79,0.06,U,0.0
56460.17,14.88,0.05,U,0.0
56461.92,15.16,0.08,U,0.0
56463.82,15.14,0.05,U,0.0
56465.92,15.2,0.32,U,0.0
56466.19,15.21,0.06,U,0.0
56466.42,15.03,0.07,U,0.0
56467.42,15.13,0.09,U,0.0
56467.97,15.35,0.05,U,0.0
56468.42,15.15,0.08,U,0.0
56468.42,15.32,0.04,U,0.0
56469.42,15.14,0.07,U,0.0
56469.56,15.39,0.06,U,0.0
56470.42,15.18,0.1,U,0.0
56453.57,14.36,0.3,B,0.0
56455.43,14.55,0.09,B,0.0
56456.42,14.77,0.08,B,0.0
56456.57,15.05,0.21,B,0.0
56456.9,14.98,0.04,B,0.0
56458.43,15.22,0.01,B,0.0
56459.35,15.4,0.04,B,0.0
56459.43,15.24,0.11,B,0.0
56460.42,15.31,0.01,B,0.0
56460.17,15.41,0.05,B,0.0
56460.59,15.45,0.03,B,0.0
56461.92,15.34,0.01,B,0.0
56463.82,15.39,0.04,B,0.0
56463.88,15.31,0.02,B,0.0
56465.92,15.25,0.02,B,0.0
56466.19,15.28,0.05,B,0.0
56466.42,15.26,0.11,B,0.0
56467.42,15.18,0.11,B,0.0
56467.97,15.31,0.04,B,0.0
56468.42,15.15,0.11,B,0.0
56468.42,15.18,0.23,B,0.0
56469.42,15.13,0.13,B,0.0
56469.56,15.22,0.05,B,0.0
56470.42,15.2,0.11,B,0.0
56453.41,14.1,0.01,vs,0.0
56453.57,14.2,0.24,vs,0.0
56454.7,14.46,0.18,vs,0.0
56455.43,14.53,0.02,vs,0.0
56456.42,14.55,0.02,vs,0.0
56456.7,14.55,0.3,V,0.0
56456.57,14.4,0.11,V,0.0
56456.9,14.73,0.04,V,0.0
56459.35,15.02,0.05,V,0.0
56459.43,14.95,0.03,V,0.0
56460.17,15.06,0.05,V,0.0
56460.59,14.98,0.11,V,0.0
56461.92,14.87,0.01,V,0.0
56463.82,14.85,0.05,V,0.0
56463.88,14.77,0.11,V,0.0
56465.92,14.63,0.01,V,0.0
56466.19,14.65,0.05,V,0.0
56466.42,14.61,0.03,V,0.0
56467.42,14.65,0.06,V,0.0
56467.97,14.55,0.06,V,0.0
56468.42,14.57,0.04,V,0.0
56468.42,14.67,0.08,V,0.0
56469.42,14.57,0.04,V,0.0
56469.56,14.63,0.05,V,0.0
56470.42,14.55,0.03,V,0.0
56451.37,14.25,0.08,R,0.0
56452.4,13.77,0.07,R,0.0
56453.41,13.74,0.08,R,0.0
56453.57,13.85,0.23,R,0.0
56455.43,14.11,0.07,R,0.0
56456.42,14.34,0.04,R,0.0
56456.57,14.37,0.06,R,0.0
56458.43,14.62,0.01,R,0.0
56459.43,14.66,0.03,R,0.0
56460.59,14.5,0.21,R,0.0
56461.92,14.42,0.02,R,0.0
56463.88,14.34,0.07,R,0.0
56465.92,14.38,0.08,R,0.0
56466.42,14.26,0.04,R,0.0
56467.42,14.24,0.04,R,0.0
56468.42,14.19,0.04,R,0.0
56468.42,14.21,0.04,R,0.0
56469.42,14.17,0.04,R,0.0
56470.42,14.16,0.08,R,0.0
56455.43,13.96,0.06,I,0.0
56456.42,14.13,0.06,I,0.0
56458.43,14.39,0.01,I,0.0
56459.43,14.51,0.06,I,0.0
56461.92,14.46,0.03,I,0.0
56463.88,14.44,0.03,I,0.0
56465.92,14.21,0.04,I,0.0
56466.42,14.13,0.06,I,0.0
56467.42,14.16,0.07,I,0.0
56468.42,14.12,0.07,I,0.0
56468.42,14.18,0.08,I,0.0
56469.42,14.06,0.06,I,0.0
56470.42,14.02,0.06,I,0.0
56455.8,14.59,0.03,g,0.0
