,MJD,MAG,MAGERR,FLT,Vega,RMAG,MJD_S
0,56456.9,17.3,0.08,W2,1.0,14.665236926777094,6.900000000001455
1,56459.35,18.05,0.08,W2,1.0,15.415236926777094,9.349999999998545
2,56460.17,18.080000000000002,0.08,W2,1.0,15.445236926777095,10.169999999998254
3,56461.75,18.400000000000002,0.09,W2,1.0,15.765236926777096,11.75
4,56462.82,18.46,0.1,W2,1.0,15.825236926777094,12.819999999999709
23,56456.9,16.900000000000002,0.06,M2,1.0,14.737712074917054,6.900000000001455
24,56459.35,17.69,0.07,M2,1.0,15.101137059959521,9.349999999998545
25,56460.17,17.790000000000003,0.07,M2,1.0,15.201137059959523,10.169999999998254
44,56456.9,16.28,0.06,W1,1.0,14.469556852820165,6.900000000001455
45,56459.35,17.01,0.07,W1,1.0,14.881632000415554,9.349999999998545
46,56460.17,16.88,0.07,W1,1.0,14.751632000415553,10.169999999998254
72,56461.92,15.16,0.08,U,0.0,14.687712074917053,11.919999999998254
71,56460.17,14.88,0.05,U,0.0,14.407712074917054,10.169999999998254
70,56460.42,14.79,0.06,U,0.0,14.317712074917052,10.419999999998254
69,56459.43,14.67,0.05,U,0.0,14.369556852820166,9.430000000000291
65,56456.42,14.11,0.06,U,0.0,13.872402974608056,6.419999999998254
67,56458.43,14.66,0.03,U,0.0,14.422402974608056,8.430000000000291
66,56456.9,14.15,0.05,U,0.0,13.677712074917054,6.900000000001455
68,56459.35,14.79,0.05,U,0.0,14.317712074917052,9.349999999998545
91,56459.43,15.24,0.11,B,0.0,14.837331716194402,9.430000000000291
95,56461.92,15.34,0.01,B,0.0,14.937331716194402,11.919999999998254
93,56460.17,15.41,0.05,B,0.0,15.007331716194402,10.169999999998254
92,56460.42,15.31,0.01,B,0.0,14.907331716194403,10.419999999998254
90,56459.35,15.4,0.04,B,0.0,14.997331716194402,9.349999999998545
94,56460.59,15.45,0.03,B,0.0,15.047331716194401,10.589999999996508
88,56456.9,14.98,0.04,B,0.0,14.607059885414445,6.900000000001455
87,56456.57,15.05,0.21,B,0.0,14.647331716194403,6.569999999999709
86,56456.42,14.77,0.08,B,0.0,14.469556852820165,6.419999999998254
85,56455.43,14.55,0.09,B,0.0,14.296041301890606,5.430000000000291
84,56453.57,14.36,0.3,B,0.0,13.957331716194401,3.569999999999709
89,56458.43,15.22,0.01,B,0.0,14.817331716194403,8.430000000000291
167,56457.9,14.98,0.05,g,0.0,14.607059885414445,7.900000000001455
168,56458.8,15.09,0.05,g,0.0,14.717059885414445,8.80000000000291
169,56459.9,15.12,0.03,g,0.0,14.747059885414444,9.900000000001455
170,56460.9,15.06,0.03,g,0.0,14.687059885414445,10.900000000001455
171,56461.9,15.06,0.03,g,0.0,14.687059885414445,11.900000000001455
172,56462.9,15.01,0.03,g,0.0,14.637059885414445,12.900000000001455
165,56455.8,14.59,0.03,g,0.0,14.217059885414445,5.80000000000291
166,56456.8,14.86,0.03,g,0.0,14.487059885414444,6.80000000000291
115,56456.9,14.73,0.04,V,0.0,14.590285312294533,6.900000000001455
108,56453.41,14.1,0.01,V,0.0,13.799556852820166,3.4100000000034925
109,56453.57,14.2,0.24,V,0.0,13.899556852820165,3.569999999999709
110,56454.7,14.46,0.18,V,0.0,14.291684456606868,4.69999999999709
111,56455.43,14.53,0.02,V,0.0,14.341751682378343,5.430000000000291
112,56456.42,14.55,0.02,V,0.0,14.296041301890606,6.419999999998254
114,56456.57,14.4,0.11,V,0.0,14.099556852820166,6.569999999999709
119,56460.59,14.98,0.11,V,0.0,14.607059885414445,10.589999999996508
120,56461.92,14.87,0.01,V,0.0,14.569556852820165,11.919999999998254
113,56456.7,14.55,0.3,V,0.0,14.296041301890606,6.69999999999709
118,56460.17,15.06,0.05,V,0.0,14.687059885414445,10.169999999998254
117,56459.43,14.95,0.03,V,0.0,14.649556852820165,9.430000000000291
116,56459.35,15.02,0.05,V,0.0,14.719556852820165,9.349999999998545
181,56459.9,14.81,0.02,r,0.0,14.621751682378344,9.900000000001455
183,56461.9,14.72,0.03,r,0.0,14.580285312294533,11.900000000001455
179,56457.9,14.76,0.04,r,0.0,14.506041301890605,7.900000000001455
178,56456.8,14.68,0.03,r,0.0,14.426041301890605,6.80000000000291
177,56455.8,14.52,0.02,r,0.0,14.266041301890604,5.80000000000291
184,56462.9,14.6,0.03,r,0.0,14.346041301890605,12.900000000001455
182,56460.9,14.76,0.03,r,0.0,14.506041301890605,10.900000000001455
180,56458.8,14.83,0.04,r,0.0,14.576041301890605,8.80000000000291
134,56452.4,13.77,0.07,R,0.0,13.532402974608056,2.400000000001455
139,56456.57,14.37,0.06,R,0.0,14.132402974608056,6.569999999999709
133,56451.37,14.25,0.08,R,0.0,14.012402974608056,1.3700000000026193
143,56461.92,14.42,0.02,R,0.0,14.166041301890605,11.919999999998254
142,56460.59,14.5,0.21,R,0.0,14.262402974608056,10.589999999996508
141,56459.43,14.66,0.03,R,0.0,14.422402974608056,9.430000000000291
