,MJD,MAG,MAGERR,FLT,Vega,RMAG,MJD_S
51,57653.65,16.684,0.104,W2,1,13.969839350963657,2.459999999999127
29,57653.584,16.61,0.095,W2,1,13.895839350963655,2.394000000000233
17,57653.229,15.776,0.039,W2,1,13.061839350963655,2.0389999999970314
12,57653.163,15.653,0.038,W2,1,12.938839350963654,1.9729999999981374
23,57653.295,15.957,0.046,W2,1,13.242839350963656,2.1049999999959255
82,57654.233,17.982,0.071,W2,1,15.267839350963651,3.0429999999978463
60,57653.822,17.149,0.068,M2,1,14.48125725093556,2.631999999997788
19,57653.232,15.381,0.085,M2,1,12.713257250935563,2.0420000000012806
37,57653.625,16.581,0.062,M2,1,13.913257250935562,2.4349999999976717
49,57653.641,16.712,0.084,M2,1,14.044257250935562,2.4510000000009313
69,57653.889,17.345,0.072,M2,1,14.677257250935561,2.699000000000524
84,57654.237,17.73,0.075,M2,1,15.06225725093556,3.0469999999986612
52,57653.689,16.736,0.063,M2,1,14.06825725093556,2.4989999999961583
54,57653.715,16.873,0.18,M2,1,14.20525725093556,2.5249999999941792
55,57653.756,16.935,0.065,M2,1,14.267257250935561,2.565999999998894
27,57653.574,16.537,0.077,M2,1,13.869257250935561,2.3839999999981956
63,57653.824,16.614,0.069,W1,1,14.431367053513243,2.6339999999981956
53,57653.691,16.329,0.064,W1,1,14.146367053513245,2.5009999999965657
38,57653.626,16.299,0.065,W1,1,14.116367053513244,2.4359999999942374
79,57654.228,17.269000000000002,0.067,W1,1,15.086367053513245,3.0380000000004657
56,57653.758,16.45,0.066,W1,1,14.267367053513244,2.5679999999993015
28,57653.575,16.007,0.07,W1,1,13.824367053513244,2.3849999999947613
50,57653.642,16.42,0.093,W1,1,14.237367053513244,2.451999999997497
70,57653.891,16.677,0.093,W1,1,14.494367053513244,2.7010000000009313
20,57653.291,15.474,0.041,W1,1,13.291367053513245,2.1009999999951106
9,57653.158,15.254999999999999,0.038,W1,1,13.072367053513243,1.9680000000007567
14,57653.224,15.375,0.039,W1,1,13.192367053513244,2.0339999999996508
80,57654.229,16.358,0.056,us,1,14.818691343040616,3.0389999999970314
21,57653.292,15.167,0.035,us,1,13.627691343040617,2.1019999999989523
10,57653.159,14.975999999999999,0.033,us,1,13.436691343040616,1.9689999999973224
15,57653.226,15.051,0.034,us,1,13.511691343040617,2.036000000000058
123,57654.873,16.737000000000002,0.019,bs,1,16.42920911436597,3.6829999999972642
11,57653.16,15.052999999999999,0.039,bs,1,14.20525725093556,1.9700000000011642
22,57653.293,15.184999999999999,0.04,bs,1,14.87720911436597,2.102999999995518
132,57654.884,16.746000000000002,0.013,bs,1,16.43820911436597,3.6939999999958673
106,57654.666,16.584,0.025,bs,1,16.27620911436597,3.4759999999951106
133,57654.886,16.808,0.016,bs,1,16.50020911436597,3.6959999999962747
96,57654.571,16.444000000000003,0.025,bs,1,16.136209114365972,3.3810000000012224
95,57654.569,16.499000000000002,0.024,bs,1,16.19120911436597,3.379000000000815
71,57653.895,15.88,0.08,bs,1,15.572209114365972,2.7049999999944703
72,57653.895,15.88,0.08,bs,1,15.572209114365972,2.7049999999944703
86,57654.317,16.313000000000002,0.045,bs,1,16.00520911436597,3.1270000000004075
81,57654.23,16.2,0.06,bs,1,15.892209114365969,3.040000000000873
105,57654.664,16.605,0.024,bs,1,16.29720911436597,3.473999999994703
110,57654.685,16.572000000000003,0.021,bs,1,16.264209114365972,3.4949999999953434
111,57654.686,16.593,0.02,bs,1,16.28520911436597,3.495999999999185
122,57654.871,16.706,0.017,bs,1,16.39820911436597,3.680999999996857
85,57654.316,16.274,0.046,bs,1,15.96620911436597,3.1259999999965657
112,57654.695,16.603,0.019,bs,1,16.29520911436597,3.5049999999973807
40,57653.628,15.569999999999999,0.04,bs,1,15.26220911436597,2.437999999994645
39,57653.628,15.569999999999999,0.04,bs,1,15.26220911436597,2.437999999994645
16,57653.227,15.126999999999999,0.039,bs,1,14.81920911436597,2.036999999996624
113,57654.696,16.582,0.021,bs,1,16.27420911436597,3.5060000000012224
109,57654.67,16.391,0.025,g,0,15.985332487603873,3.4799999999959255
90,57654.323,16.198,0.025,g,0,15.792332487603876,3.132999999994354
117,57654.702,16.423,0.027,g,0,16.017332487603873,3.5119999999951688
89,57654.321,16.379,0.027,g,0,15.973332487603876,3.1310000000012224
75,57653.897,15.91,0.07,g,0,15.504332487603875,2.7069999999948777
76,57653.897,15.91,0.07,g,0,15.504332487603875,2.7069999999948777
136,57654.891,16.627,0.009,g,0,16.221332487603874,3.7010000000009313
26,57653.428,15.479,0.068,g,0,15.073332487603874,2.2379999999975553
25,57653.427,15.41,0.062,g,0,15.004332487603875,2.2370000000009895
137,57654.893,16.624,0.008,g,0,16.218332487603874,3.702999999994063
32,57653.611,15.5,0.028,g,0,15.094332487603875,2.4209999999948195
116,57654.701,16.379,0.03,g,0,15.973332487603876,3.510999999998603
126,57654.877,16.646,0.043,g,0,16.240332487603876,3.686999999998079
64,57653.825,15.717,0.031,g,0,15.311332487603876,2.6349999999947613
62,57653.824,15.692,0.032,g,0,15.286332487603875,2.6339999999981956
99,57654.575,16.418,0.024,g,0,16.012332487603874,3.3849999999947613
43,57653.63,15.61,0.03,g,0,15.204332487603875,2.4399999999950523
100,57654.577,16.441,0.025,g,0,16.035332487603874,3.3869999999951688
44,57653.63,15.61,0.03,g,0,15.204332487603875,2.4399999999950523
127,57654.878,16.665,0.047,g,0,16.259332487603874,3.687999999994645
97,57654.573,16.351,0.016,vs,1,16.03034849921008,3.382999999994354
108,57654.668,16.412,0.02,vs,1,16.09134849921008,3.477999999995518
107,57654.667,16.386999999999997,0.021,vs,1,16.06634849921008,3.4769999999989523
125,57654.875,16.514999999999997,0.022,vs,1,16.19434849921008,3.6849999999976717
124,57654.874,16.535999999999998,0.021,vs,1,16.21534849921008,3.684000000001106
114,57654.698,16.442999999999998,0.023,vs,1,16.12234849921008,3.507999999994354
88,57654.32,16.276999999999997,0.034,vs,1,15.956348499210078,3.1299999999973807
115,57654.699,16.450999999999997,0.018,vs,1,16.13034849921008,3.5089999999981956
135,57654.889,16.616999999999997,0.014,vs,1,16.221332487603874,3.699000000000524
134,57654.888,16.61,0.015,vs,1,16.28934849921008,3.697999999996682
87,57654.319,16.083,0.038,vs,1,15.762348499210079,3.129000000000815
98,57654.574,16.372,0.018,vs,1,16.051348499210082,3.3839999999981956
57,57653.788,15.72,0.05,vs,1,15.399348499210081,2.5979999999981374
58,57653.788,15.72,0.05,vs,1,15.399348499210081,2.5979999999981374
5,57652.799,15.0,0.04,vs,1,14.67934849921008,1.6089999999967404
42,57653.629,15.53,0.03,vs,1,15.20934849921008,2.4389999999984866
41,57653.629,15.53,0.03,vs,1,15.20934849921008,2.4389999999984866
83,57654.235,15.98,0.075,vs,1,15.65934849921008,3.0449999999982538
59,57653.821,15.601,0.012,vs,1,15.280348499210081,2.6310000000012224
61,57653.822,15.575000000000001,0.014,vs,1,15.254348499210082,2.631999999997788
6,57652.799,15.0,0.04,vs,1,14.67934849921008,1.6089999999967404
31,57653.608,15.43,0.008,vs,1,15.10934849921008,2.4179999999978463
30,57653.607,15.434000000000001,0.012,vs,1,15.113348499210081,2.4170000000012806
18,57653.231,15.285,0.061,vs,1,14.96434849921008,2.040999999997439
73,57653.896,15.83,0.06,vs,1,15.50934849921008,2.705999999998312
74,57653.896,15.83,0.06,vs,1,15.50934849921008,2.705999999998312
13,57653.165,15.117,0.064,vs,1,14.796348499210081,1.9749999999985448
119,57654.705,16.317,0.018,r,0,16.112231932056446,3.514999999999418
33,57653.613,15.55,0.011,r,0,15.273755130423861,2.422999999995227
34,57653.614,15.55,0.015,r,0,15.273755130423861,2.4239999999990687
129,57654.881,16.442,0.018,r,0,16.16575513042386,3.690999999998894
128,57654.88,16.449,0.017,r,0,16.118348499210082,3.6899999999950523
118,57654.704,16.322,0.015,r,0,16.04575513042386,3.513999999995576
47,57653.633,15.59,0.04,r,0,15.31375513042386,2.4429999999993015
78,57653.9,15.85,0.08,r,0,15.57375513042386,2.709999999999127
77,57653.9,15.85,0.08,r,0,15.57375513042386,2.709999999999127
139,57654.896,16.444,0.01,r,0,16.16775513042386,3.705999999998312
102,57654.579,16.154,0.014,r,0,15.877755130423862,3.388999999995576
101,57654.578,16.279,0.009,r,0,16.00275513042386,3.3879999999990105
65,57653.827,15.685,0.016,r,0,15.408755130423861,2.6369999999951688
66,57653.828,15.68,0.021,r,0,15.40375513042386,2.6379999999990105
91,57654.324,16.081,0.022,r,0,15.804755130423862,3.1339999999981956
48,57653.633,15.59,0.04,r,0,15.31375513042386,2.4429999999993015
92,57654.325,16.162,0.029,r,0,15.885755130423862,3.1349999999947613
138,57654.895,16.459,0.012,r,0,16.18275513042386,3.7049999999944703
8,57652.906,14.794,0.074,Clear,0,14.535393708503229,1.7160000000003492
24,57653.393,15.354,0.061,Clear,0,15.095393708503227,2.202999999994063
7,57652.812,14.762,0.236,Clear,0,14.503393708503229,1.6219999999957508
4,57652.64,14.5,0.2,Clear,0,14.241393708503228,1.4499999999970896
1,57651.748,17.6,0.5,Clear,0,17.341393708503233,0.5579999999972642
3,57652.05,15.78,0.08,o,0,15.53266498903068,0.8600000000005821
2,57652.04,15.94,0.13,o,0,15.69266498903068,0.8499999999985448
130,57654.882,16.586,0.018,i,0,16.381231932056444,3.69199999999546
131,57654.883,16.524,0.017,i,0,16.319231932056447,3.6929999999993015
36,57653.616,15.631,0.012,i,0,15.426231932056444,2.425999999999476
120,57654.706,16.307,0.023,i,0,16.102231932056444,3.5159999999959837
35,57653.615,15.612,0.012,i,0,15.407231932056444,2.4249999999956344
45,57653.632,15.65,0.04,i,0,15.445231932056444,2.44199999999546
46,57653.632,15.65,0.04,i,0,15.445231932056444,2.44199999999546
104,57654.582,16.311,0.016,i,0,16.106231932056446,3.3919999999998254
103,57654.581,16.313,0.018,i,0,16.108231932056444,3.3909999999959837
67,57653.829,15.728,0.021,i,0,15.523231932056444,2.638999999995576
68,57653.83,15.71,0.018,i,0,15.505231932056445,2.639999999999418
94,57654.328,16.094,0.033,i,0,15.889231932056445,3.1379999999990105
93,57654.327,16.189,0.034,i,0,15.984231932056444,3.1369999999951688
140,57654.897,16.424,0.015,i,0,16.219231932056445,3.7069999999948777
121,57654.707,16.317,0.02,i,0,16.112231932056446,3.5169999999998254
141,57654.898,16.445,0.012,i,0,16.240231932056446,3.7079999999987194
