MJD,MAG,MAGERR,FLT,Vega
57651.665,17.36,0,vs,1
57651.748,17.6,0.5,Clear,0
57652.04,15.94,0.13,o,0
57652.05,15.78,0.08,o,0
57652.64,14.5,0.2,Clear,0
57652.799,15.01,0.04,vs,1
57652.799,15.01,0.04,vs,1
57652.812,14.762,0.236,Clear,0
57652.906,14.794,0.074,Clear,0
57653.158,13.745,0.038,W1,1
57653.159,13.956,0.033,us,1
57653.16,15.183,0.039,bs,1
57653.163,13.923,0.038,W2,1
57653.165,15.127,0.064,vs,1
57653.224,13.865,0.039,W1,1
57653.226,14.031,0.034,us,1
57653.227,15.257,0.039,bs,1
57653.229,14.046,0.039,W2,1
57653.231,15.295,0.061,vs,1
57653.232,13.691,0.085,M2,1
57653.291,13.964,0.041,W1,1
57653.292,14.147,0.035,us,1
57653.293,15.315,0.04,bs,1
57653.295,14.227,0.046,W2,1
57653.393,15.354,0.061,Clear,0
57653.427,15.41,0.062,g,0
57653.428,15.479,0.068,g,0
57653.574,14.847,0.077,M2,1
57653.575,14.497,0.07,W1,1
57653.584,14.88,0.095,W2,1
57653.607,15.444,0.012,vs,1
57653.608,15.44,0.008,vs,1
57653.611,15.5,0.028,g,0
57653.613,15.55,0.011,r,0
57653.614,15.55,0.015,r,0
57653.615,15.612,0.012,i,0
57653.616,15.631,0.012,i,0
57653.625,14.891,0.062,M2,1
57653.626,14.789,0.065,W1,1
57653.628,15.7,0.04,bs,1
57653.628,15.7,0.04,bs,1
57653.629,15.54,0.03,vs,1
57653.629,15.54,0.03,vs,1
57653.63,15.61,0.03,g,0
57653.63,15.61,0.03,g,0
57653.632,15.65,0.04,i,0
57653.632,15.65,0.04,i,0
57653.633,15.59,0.04,r,0
57653.633,15.59,0.04,r,0
57653.641,15.022,0.084,M2,1
57653.642,14.91,0.093,W1,1
57653.65,14.954,0.104,W2,1
57653.689,15.046,0.063,M2,1
57653.691,14.819,0.064,W1,1
57653.715,15.183,0.18,M2,1
57653.756,15.245,0.065,M2,1
57653.758,14.94,0.066,W1,1
57653.788,15.73,0.05,vs,1
57653.788,15.73,0.05,vs,1
57653.821,15.611,0.012,vs,1
57653.822,15.459,0.068,M2,1
57653.822,15.585,0.014,vs,1
57653.824,15.692,0.032,g,0
57653.824,15.104,0.069,W1,1
57653.825,15.717,0.031,g,0
57653.827,15.685,0.016,r,0
57653.828,15.68,0.021,r,0
57653.829,15.728,0.021,i,0
57653.83,15.71,0.018,i,0
57653.889,15.655,0.072,M2,1
57653.891,15.167,0.093,W1,1
57653.895,16.01,0.08,bs,1
57653.895,16.01,0.08,bs,1
57653.896,15.84,0.06,vs,1
57653.896,15.84,0.06,vs,1
57653.897,15.91,0.07,g,0
57653.897,15.91,0.07,g,0
57653.9,15.85,0.08,r,0
57653.9,15.85,0.08,r,0
57654.228,15.759,0.067,W1,1
57654.229,15.338,0.056,us,1
57654.23,16.33,0.06,bs,1
57654.233,16.252,0.071,W2,1
57654.235,15.99,0.075,vs,1
57654.237,16.04,0.075,M2,1
57654.316,16.404,0.046,bs,1
57654.317,16.443,0.045,bs,1
57654.319,16.093,0.038,vs,1
57654.32,16.287,0.034,vs,1
57654.321,16.379,0.027,g,0
57654.323,16.198,0.025,g,0
57654.324,16.081,0.022,r,0
57654.325,16.162,0.029,r,0
57654.327,16.189,0.034,i,0
57654.328,16.094,0.033,i,0
57654.569,16.629,0.024,bs,1
57654.571,16.574,0.025,bs,1
57654.573,16.361,0.016,vs,1
57654.574,16.382,0.018,vs,1
57654.575,16.418,0.024,g,0
