MJD,FLT,MAG,MAGERR,Vega
58580.4421,g,20.828,0.148,0
58581.4807,g,18.813,0.033,0
58582.4396,g,18.505,0.019,0
58583.4082,g,18.516,0.037,0
58584.4691,g,18.653,0.016,0
58586.448,g,19.037,0.025,0
58587.4658,g,19.178,0.031,0
58588.4794,g,19.392,0.039,0
58591.374,g,19.678,0.148,0
58592.4784,g,19.5,0.104,0
58593.4841,g,19.776,0.17,0
58596.4781,g,20.111,0.081,0
58597.4728,g,20.528,0.181,0
58599.2766,g,20.466,0.077,0
58612.4016,g,21.783,0.217,0
58616.4688,g,21.662,0.156,0
58580.4842,r,20.891,0.139,0
58581.4308,r,19.187,0.05,0
58582.4516,r,18.761,0.02,0
58584.4009,r,18.695,0.024,0
58585.4191,r,18.753,0.026,0
58586.4101,r,18.918,0.027,0
58587.4222,r,19.021,0.054,0
58588.43,r,19.099,0.031,0
58589.3489,r,18.989,0.199,0
58591.4525,r,19.31,0.052,0
58592.388,r,19.464,0.13,0
58593.4315,r,19.437,0.058,0
58596.3929,r,19.68,0.051,0
58597.405,r,19.845,0.057,0
58598.361,r,19.962,0.092,0
58599.4846,r,19.966,0.059,0
58600.4715,r,20.081,0.101,0
58605.4333,r,20.73,0.079,0
58607.3705,r,20.692,0.087,0
58608.4033,r,20.639,0.128,0
58612.4549,r,21.226,0.111,0
58616.4117,r,20.941,0.088,0
58617.338,r,21.017,0.171,0
58627.3911,r,21.581,0.214,0
58635.3518,r,21.946,0.193,0
58581.5163,i,19.437,0.171,0
58586.5159,i,18.977,0.082,0
58596.3822,i,19.662,0.16,0
58637.8263,r,22.272,0.16,0
58642.3119,r,22.395,0.171,0
58582.1544,g,18.59,0.01,0
58582.1552,r,18.84,0.02,0
58582.1575,i,19.11,0.02,0
58582.1583,z,19.28,0.07,0
58583.1637,g,18.48,0.02,0
58583.1645,r,18.63,0.01,0
58584.2324,g,18.58,0.01,0
58584.2332,r,18.68,0.02,0
58584.2355,i,18.85,0.02,0
58584.2363,z,19.15,0.07,0
58590.0252,g,19.47,0.14,0
58590.026,r,19.16,0.04,0
58590.0268,i,19.24,0.07,0
58590.0277,z,19.28,0.21,0
58591.0676,g,19.44,0.07,0
58591.0685,r,19.31,0.09,0
58591.0693,i,19.22,0.06,0
58591.0701,z,19.1,0.12,0
58592.0472,g,19.4,0.13,0
58592.0472,r,19.26,0.12,0
58592.0489,i,19.27,0.1,0
58592.0497,z,19.33,0.17,0
58593.1109,r,19.41,0.06,0
58593.1117,i,19.41,0.08,0
58593.1125,z,19.46,0.12,0
58594.1142,g,19.69,0.2,0
58594.115,r,19.5,0.08,0
58594.1158,i,19.48,0.08,0
58594.1167,z,19.52,0.16,0
58595.0926,g,19.82,0.1,0
58595.0935,r,19.6,0.07,0
58595.0943,i,19.45,0.07,0
58595.0951,z,19.55,0.11,0
58596.138,g,20.1,0.11,0
58596.1388,r,19.75,0.06,0
58596.1396,i,19.66,0.08,0
58596.1405,z,19.71,0.16,0
58597.1508,g,20.12,0.07,0
58597.1516,r,19.77,0.05,0
58597.1539,i,19.69,0.07,0
58597.1547,z,19.95,0.15,0
58598.1207,g,20.37,0.17,0
58598.1218,r,19.89,0.06,0
58598.1247,i,19.73,0.08,0
58598.1257,z,20.13,0.3,0
58599.1894,g,20.42,0.08,0
58599.1918,z,20.17,0.12,0
58601.1606,i,20.38,0.1,0
58607.0861,r,21.22,0.11,0
58607.089,i,20.88,0.1,0
58607.09,z,20.72,0.16,0
58610.1965,g,21.86,0.19,0
58610.1974,r,21.36,0.21,0
58610.1982,i,21.28,0.19,0
58610.199,z,20.92,0.42,0
58611.1743,g,21.77,0.23,0
58611.1751,r,21.52,0.19,0
58611.1759,i,21.1,0.12,0
58611.1767,z,20.72,0.21,0
58582.156,u,18.45,0.03,0
58583.1654,u,18.32,0.03,0
58584.2341,u,18.57,0.02,0
58582.8289,bs,18.606,0.193,0
58582.828,us,18.289,0.113,0
58582.8346,M2,18.55,0.068,0
58582.8261,W1,18.685,0.108,0
58582.8299,W2,18.802,0.103,0
58582.8337,vs,18.679,0.404,0
58583.5775,bs,18.494,0.142,0
58583.5766,us,18.512,0.107,0
58583.5833,M2,18.85,0.093,0
58583.5747,W1,18.873,0.101,0
58583.5785,W2,19.219,0.098,0
58583.5823,vs,18.457,0.289,0
