#date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2019 May 24",2458627.9229,"i", 99.0, 99.0,99.0, 19.56,"P48+ZTF","2","None","None",True,True
"2019 May 25",2458628.7129,"g", 99.0, 99.0,99.0, 20.75,"P48+ZTF","1","None","None",True,True
"2019 May 25",2458628.7138,"g", 99.0, 99.0,99.0, 20.65,"P48+ZTF","1","None","None",True,True
"2019 May 25",2458628.7859,"r", 99.0, 99.0,99.0, 20.06,"P48+ZTF","1","None","None",True,True
"2019 May 25",2458628.7868,"r", 99.0, 99.0,99.0, 20.46,"P48+ZTF","1","None","None",True,True
"2019 May 30",2458633.7555,"g", 99.0, 99.0,99.0, 20.62,"P48+ZTF","1","None","None",True,True
"2019 May 30",2458633.8010,"r", 99.0, 99.0,99.0, 20.33,"P48+ZTF","1","None","None",True,True
"2019 May 31",2458634.7377,"g", 99.0, 99.0,99.0, 20.76,"P48+ZTF","1","None","None",True,True
"2019 May 31",2458634.7698,"r", 99.0, 99.0,99.0, 20.62,"P48+ZTF","1","None","None",True,True
"2019 Jun 01",2458635.6647,"i", 99.0, 99.0,99.0, 19.61,"P48+ZTF","2","None","None",True,True
"2019 Jun 01",2458635.6875,"i", 99.0, 99.0,99.0, 19.79,"P48+ZTF","2","None","None",True,True
"2019 Jun 02",2458636.7277,"r", 99.0, 99.0,99.0, 20.48,"P48+ZTF","1","None","None",True,True
"2019 Jun 02",2458636.7517,"g", 99.0, 99.0,99.0, 20.90,"P48+ZTF","1","None","None",True,True
"2019 Jun 03",2458637.7076,"r", 99.0, 99.0,99.0, 20.70,"P48+ZTF","1","None","None",True,True
"2019 Jun 03",2458637.7325,"g", 99.0, 99.0,99.0, 20.78,"P48+ZTF","1","None","None",True,True
"2019 Jun 05",2458639.6664,"i", 99.0, 99.0,99.0, 19.29,"P48+ZTF","2","None","None",True,True
"2019 Jun 05",2458639.7326,"g", 99.0, 99.0,99.0, 20.74,"P48+ZTF","1","None","None",True,True
"2019 Jun 05",2458639.7757,"r", 99.0, 99.0,99.0, 20.49,"P48+ZTF","1","None","None",True,True
"2019 Jun 06",2458640.6919,"g", 99.0, 99.0,99.0, 20.75,"P48+ZTF","1","None","None",True,True
"2019 Jun 06",2458640.7331,"r", 99.0, 99.0,99.0, 20.57,"P48+ZTF","1","None","None",True,True
