,MJD,MAG,MAGERR,FLT,Vega,RMAG,MJD_S
34,58651.69100000011,99.0,99.0,g,0.0,98.29228448516658,0.6610000001091976
49,58657.691300000064,19.25,0.14,g,0.0,18.21071484394576,6.661300000065239
48,58657.691300000064,19.25,0.14,g,0.0,18.21071484394576,6.661300000065239
46,58654.7518000002,18.44,0.09,g,0.0,17.40071484394576,3.721800000203075
45,58654.74099999992,18.45,0.09,g,0.0,17.74228448516657,3.710999999922933
44,58654.74099999992,18.45,0.09,g,0.0,17.74228448516657,3.710999999922933
50,58657.69219999993,19.29,0.11,g,0.0,18.250714843945758,6.662199999933364
51,58657.69219999993,19.29,0.11,g,0.0,18.250714843945758,6.662199999933364
35,58651.69240000006,99.0,99.0,g,0.0,98.29228448516658,0.6624000000592787
40,58654.690099999774,18.58,0.1,r,0.0,17.87228448516657,3.6600999997754116
43,58654.691899999976,18.59,0.07,r,0.0,17.882284485166572,3.6618999999773223
47,58654.81880000001,18.62,0.05,r,0.0,17.912284485166573,3.78880000000936
36,58651.75210000016,99.0,99.0,r,0.0,98.29228448516658,0.7221000001591165
41,58654.690099999774,18.58,0.09,r,0.0,17.87228448516657,3.6600999997754116
42,58654.691899999976,18.59,0.07,r,0.0,17.882284485166572,3.6618999999773223
39,58653.73730000015,18.56,0.1,i,0.0,17.520714843945758,2.707300000154646
38,58653.73680000007,18.53,0.14,i,0.0,18.00540188221965,2.7068000000726897
37,58653.73680000007,18.53,0.14,i,0.0,18.00540188221965,2.7068000000726897
