MJD,MAG,MAGERR,FLT,Vega
58653.73680000007,18.53,0.14,i,0.0
58653.73680000007,18.53,0.14,i,0.0
58653.73730000015,18.56,0.1,i,0.0
58654.690099999774,18.58,0.1,r,0.0
58654.690099999774,18.58,0.09,r,0.0
58654.691899999976,18.59,0.07,r,0.0
58654.691899999976,18.59,0.07,r,0.0
58654.74099999992,18.45,0.09,g,0.0
58654.74099999992,18.45,0.09,g,0.0
58654.7518000002,18.44,0.09,g,0.0
58654.81880000001,18.62,0.05,r,0.0
58657.691300000064,19.25,0.14,g,0.0
58657.691300000064,19.25,0.14,g,0.0
58657.69219999993,19.29,0.11,g,0.0
58657.69219999993,19.29,0.11,g,0.0
58658.823100000154,18.95,0.03,r,0.0
58659.67219999991,18.75,0.1,i,0.0
58659.67219999991,18.75,0.1,i,0.0
58660.713299999945,18.45,0.07,r,0.0
58660.71380000003,18.54,0.07,r,0.0
58663.693299999926,18.19,0.08,r,0.0
58665.692799999844,18.2,0.06,g,0.0
58665.77000000002,17.89,0.06,r,0.0
58666.67329999991,17.89,0.07,r,0.0
58666.702300000004,18.13,0.07,g,0.0
58667.67199999979,17.88,0.08,i,0.0
58668.67210000008,17.77,0.07,r,0.0
58668.70669999998,18.12,0.08,g,0.0
58669.686499999836,17.72,0.07,r,0.0
58669.80429999996,17.72,0.02,r,0.0
58671.67100000009,17.83,0.09,i,0.0
58671.70459999982,17.67,0.07,r,0.0
58672.67970000021,18.09,0.06,g,0.0
58672.69519999996,17.66,0.08,r,0.0
58675.73540000012,17.75,0.08,r,0.0
58675.8012000001,18.36,0.12,g,0.0
58676.70850000018,17.73,0.09,r,0.0
58677.68600000022,18.56,0.12,g,0.0
58677.6921000001,17.82,0.07,r,0.0
58678.706300000194,17.89,0.07,r,0.0
58678.70759999985,17.91,0.09,r,0.0
58678.75829999987,18.87,0.14,g,0.0
58678.75959999999,18.77,0.14,g,0.0
58679.67029999988,18.8,0.14,g,0.0
58679.67210000008,18.81,0.12,g,0.0
58679.692600000184,17.97,0.07,r,0.0
58679.70830000006,17.95,0.08,r,0.0
58680.671300000045,19.13,0.19,g,0.0
58680.73639999982,18.06,0.08,r,0.0
58681.735100000165,18.1,0.07,r,0.0
58681.74239999987,18.12,0.1,r,0.0
58682.66779999994,19.24,0.16,g,0.0
58682.668699999806,19.16,0.12,g,0.0
58682.73620000016,18.08,0.08,r,0.0
58682.73710000003,18.18,0.08,r,0.0
58683.69230000023,19.18,0.12,g,0.0
58684.70660000015,19.28,0.14,g,0.0
58685.686499999836,19.33,0.14,g,0.0
58685.687299999874,19.22,0.1,g,0.0
58686.669999999925,19.32,0.13,g,0.0
58690.67309999978,18.46,0.09,r,0.0
58690.69700000016,19.52,0.17,g,0.0
58692.6771999998,18.57,0.14,r,0.0
58692.696800000034,19.59,0.17,g,0.0
58716.64479999989,19.35,0.15,r,0.0
