,MJD,MAG,MAGERR,FLT,Vega,RMAG,MJD_S
8,58884.0268,17.9,0.01,W2,0,17.9,1.7267999999967287
10,58884.0297,17.39,0.01,M2,0,17.39,1.7296999999962281
5,58884.0245,17.15,0.01,W1,0,17.15,1.724499999996624
6,58884.0253,17.08,0.01,U,0,17.08,1.7252999999982421
7,58884.0257,17.23,0.01,B,0,17.23,1.7256999999954132
2,58883.4763,16.82,0.04,g,0,16.82,1.1762999999991735
3,58883.4966,16.83,0.05,g,0,16.83,1.1965999999956694
11,58884.1362,17.3,0.01,g,0,17.3,1.8361999999979162
17,58884.4754,17.37,0.05,g,0,17.37,2.1754000000000815
16,58884.469,17.38,0.05,g,0,17.38,2.168999999994412
15,58884.4212,17.4,0.06,g,0,17.4,2.1211999999941327
9,58884.028,17.12,0.01,V,0,17.12,1.727999999995518
18,58884.5473,17.58,0.06,r,0,17.58,2.247299999995448
4,58883.524,17.19,0.04,r,0,17.19,1.223999999994703
19,58884.5533,17.57,0.04,r,0,17.57,2.2532999999966705
0,58883.3406,17.44,0.05,i,0,17.44,1.0406000000002678
13,58884.3889,17.66,0.05,i,0,17.66,2.088899999995192
12,58884.3634,17.5,0.03,i,0,17.5,2.063399999999092
1,58883.3901,17.46,0.04,i,0,17.46,1.0900999999939813
14,58884.4109,17.63,0.04,i,0,17.63,2.110899999999674
20,58885.3891,17.67,0.06,i,0,17.67,3.0890999999974156
