MJD,MAG,MAGERR,FLT,Vega
58883.3406,17.44,0.05,i,0
58883.3901,17.46,0.04,i,0
58883.4763,16.82,0.04,g,0
58883.4966,16.83,0.05,g,0
58883.524,17.19,0.04,r,0
58884.0245,17.15,0.01,W1,0
58884.0253,17.08,0.01,U,0
58884.0257,17.23,0.01,B,0
58884.0268,17.9,0.01,W2,0
58884.028,17.12,0.01,V,0
58884.0297,17.39,0.01,M2,0
58884.1362,17.3,0.01,g,0
58884.3634,17.5,0.03,i,0
58884.3889,17.66,0.05,i,0
58884.4109,17.63,0.04,i,0
58884.4212,17.4,0.06,g,0
58884.469,17.38,0.05,g,0
58884.4754,17.37,0.05,g,0
58884.5473,17.58,0.06,r,0
58884.5533,17.57,0.04,r,0
58885.3891,17.67,0.06,i,0
58885.4111,17.65,0.04,i,0
58885.429,17.4,0.05,g,0
58885.4774,17.44,0.07,g,0
58885.5211,17.51,0.04,r,0
58885.538,17.52,0.05,r,0
58885.5533,19.48,0.01,W1,0
58885.554,18.33,0.01,U,0
58885.5543,17.48,0.01,B,0
58885.5553,20.03,0.01,W2,0
58885.5563,17.19,0.01,V,0
58885.5577,20.3,0.01,M2,0
58886.3926,17.52,0.04,i,0
58886.4112,17.52,0.03,i,0
58886.4337,17.2,0.01,r,0
58886.4354,17.34,0.02,g,0
58886.437,17.47,0.01,i,0
58886.4768,17.29,0.04,g,0
58886.4809,19.17,0.01,W1,0
58886.4816,18.17,0.01,U,0
58886.4819,17.55,0.01,B,0
58886.4829,20.05,0.01,W2,0
58886.4839,17.55,0.01,V,0
58886.4854,20.87,0.01,M2,0
58886.4941,17.29,0.05,g,0
58886.5229,17.29,0.05,r,0
58886.5506,17.33,0.04,r,0
58887.2802,19.48,0.01,W1,0
58887.2808,17.94,0.01,U,0
58887.2812,17.54,0.01,B,0
58887.2821,20.47,0.01,W2,0
58887.2829,17.1,0.01,V,0
58887.2842,20.63,0.01,M2,0
58887.3208,17.33,0.05,i,0
58887.429,17.07,0.04,g,0
58887.468,17.1,0.05,g,0
58887.4751,17.1,0.05,g,0
58887.5039,17.07,0.05,r,0
58887.5305,17.08,0.05,r,0
58887.5314,17.05,0.04,r,0
58888.3553,16.81,0.02,r,0
58888.357,16.98,0.03,g,0
58888.36,17.16,0.04,i,0
58888.3928,17.14,0.05,i,0
58888.4746,16.88,0.04,r,0
58888.4892,16.87,0.05,r,0
58888.5373,16.92,0.05,g,0
58888.9397,19.06,0.01,W1,0
58888.9404,18.29,0.01,U,0
58888.9408,17.09,0.01,B,0
58888.9418,20.72,0.01,W2,0
58888.9428,17.08,0.01,V,0
58888.9444,20.37,0.01,M2,0
58890.3717,16.93,0.03,i,0
58890.3941,16.94,0.03,i,0
58890.4565,16.65,0.04,r,0
58890.4747,16.62,0.06,r,0
58890.4756,16.62,0.04,r,0
58890.5276,16.74,0.05,g,0
58890.5588,16.75,0.05,g,0
58890.5597,16.75,0.05,g,0
58891.3937,16.84,0.03,i,0
58891.4157,16.88,0.03,i,0
58891.4552,16.71,0.04,g,0
58891.4626,16.7,0.04,g,0
58891.7595,19.49,0.01,W1,0
58891.7608,18.22,0.01,U,0
58891.7615,17.02,0.01,B,0
58891.7634,20.37,0.01,W2,0
58891.7654,16.44,0.01,V,0
58891.7683,20.77,0.01,M2,0
58892.3651,16.68,0.05,g,0
58892.3832,16.69,0.04,g,0
58892.4559,16.83,0.03,i,0
58892.5181,16.46,0.04,r,0
58892.534,16.45,0.04,r,0
58893.3186,20.06,0.01,W2,0
58893.4023,16.8,0.03,i,0
58893.4715,16.67,0.04,g,0
58893.4965,16.67,0.04,g,0
58893.4974,16.67,0.04,g,0
58893.521,16.41,0.04,r,0
58893.53,16.49,0.01,V,0
58893.5325,20.9,0.01,M2,0
58893.5338,16.43,0.03,r,0
58893.7579,19.63,0.01,W1,0
58893.759,18.4,0.01,U,0
58893.7595,17.11,0.01,B,0
58893.7604,20.43,0.01,W2,0
58894.3388,16.68,0.04,g,0
58894.4351,16.75,0.03,i,0
58894.4554,16.74,0.03,i,0
58894.5153,16.38,0.04,r,0
58894.535,16.37,0.04,r,0
58894.5468,16.7,0.03,g,0
58895.137,19.89,0.01,W1,0
58895.1377,18.63,0.01,U,0
58895.138,17.35,0.01,B,0
58895.1391,20.41,0.01,W2,0
58895.14,16.35,0.01,V,0
58895.1417,20.97,0.01,M2,0
58895.4968,16.35,0.03,r,0
58895.4972,16.33,0.04,r,0
58896.3318,16.72,0.03,i,0
58896.3934,16.7,0.03,i,0
58898.1568,16.32,0.02,r,0
58898.1576,16.76,0.02,i,0
58898.1585,16.75,0.02,g,0
58898.1593,18.66,0.04,u,0
58898.445,16.92,0.04,g,0
58898.4558,16.9,0.03,g,0
58898.4955,16.38,0.03,r,0
58898.5119,16.39,0.04,r,0
58898.5128,16.35,0.04,r,0
58898.5335,16.36,0.03,r,0
58898.5463,16.93,0.04,g,0
58899.4051,16.92,0.04,g,0
58899.4351,16.94,0.04,g,0
58899.4828,16.34,0.04,r,0
58899.5057,16.36,0.03,r,0
58899.5302,16.95,0.05,g,0
58900.3929,16.98,0.05,g,0
58900.4467,16.26,0.04,r,0
58900.4499,16.38,0.01,r,0
58900.4516,16.98,0.02,g,0
58900.4532,16.64,0.02,i,0
58900.4787,16.35,0.03,r,0
58900.4938,16.34,0.04,r,0
58900.5289,16.98,0.07,g,0
58901.4137,16.38,0.03,r,0
58901.4335,16.39,0.03,r,0
58901.4546,16.37,0.03,r,0
58901.4546,16.37,0.03,r,0
58902.6701,20.56,0.01,W1,0
58902.6715,19.52,0.01,U,0
58902.6725,17.82,0.01,B,0
58902.6748,20.22,0.01,W2,0
58902.6772,16.49,0.01,V,0
58902.6791,22.23,0.01,M2,0
58903.36,17.21,0.06,g,0
58903.412,16.48,0.03,r,0
58903.4217,16.45,0.03,r,0
58903.4571,16.48,0.03,r,0
58903.4605,16.46,0.05,r,0
58903.4953,16.47,0.03,r,0
58903.4962,16.51,0.04,r,0
58903.5079,16.45,0.04,r,0
58903.5409,17.22,0.05,g,0
58904.3954,16.79,0.03,i,0
58904.4029,16.81,0.02,i,0
58904.4461,17.28,0.05,g,0
58904.489,16.5,0.03,r,0
58906.3392,17.44,0.05,g,0
58906.4339,16.89,0.02,i,0
58906.4868,16.56,0.04,r,0
58906.4878,16.57,0.03,r,0
58906.5057,16.57,0.03,r,0
58906.5381,17.41,0.05,g,0
58906.539,17.45,0.06,g,0
58906.5551,16.88,0.04,i,0
58908.3226,19.63,0.01,W1,0
58908.3236,20.53,0.01,U,0
58908.3243,18.19,0.01,B,0
58908.3259,20.45,0.01,W2,0
58908.3275,16.99,0.01,V,0
58908.3288,21.54,0.01,M2,0
58908.4122,16.98,0.03,i,0
58908.4158,16.77,0.02,r,0
58908.4258,16.99,0.03,i,0
58908.4624,16.73,0.04,r,0
58908.4949,16.76,0.04,r,0
58908.5315,17.46,0.09,g,0
58908.5565,17.45,0.05,g,0
58909.175,16.75,0.02,r,0
58909.1758,17.03,0.02,i,0
58909.1766,17.54,0.02,g,0
58909.1775,19.98,0.07,u,0
58909.1789,16.66,0.01,z,0
58911.2535,17.07,0.05,i,0
58911.3516,17.14,0.03,i,0
58911.4256,17.85,0.06,g,0
58911.4265,17.89,0.07,g,0
58911.4766,16.87,0.04,r,0
58911.4826,16.87,0.04,r,0
58911.4836,16.85,0.04,r,0
58911.551,17.85,0.07,g,0
58911.5515,17.81,0.08,g,0
58911.5533,17.73,0.07,g,0
58911.5538,17.79,0.06,g,0
58912.1515,16.94,0.02,r,0
58912.1523,17.21,0.02,i,0
58912.1532,17.75,0.01,g,0
58912.154,20.15,0.1,u,0
58912.1554,16.81,0.02,z,0
58912.3746,17.19,0.03,i,0
