MJD,MAG,MAGERR,FLT,Vega
59310.36,19.356,0.047,g,0.0
59311.23869210016,19.444206044344437,0.05695792527282083,g,0.0
59312.49,19.717000000000002,0.07,g,0.0
59313.25991899986,19.774503616827552,0.08787873431512383,g,0.0
59313.47,19.895000000000003,0.103,g,0.0
59314.31,19.996000000000002,0.066,g,0.0
59316.46,20.195,0.151,g,0.0
59317.27077550022,20.327965704286797,0.08929836857001543,g,0.0
59317.37,20.079,0.105,g,0.0
59319.35,20.073,0.072,g,0.0
59321.36556709977,20.503632136876124,0.1099414570146319,g,0.0
59321.45,20.267000000000003,0.081,g,0.0
59322.49,20.412000000000003,0.107,g,0.0
59323.27461809991,20.922654679704465,0.2373964358760062,g,0.0
59323.36,20.560000000000002,0.175,g,0.0
59350.26,21.32,0.432,g,0.0
59353.37,21.973000000000003,0.629,g,0.0
59311.29849540023,19.697647353009387,0.08818165633927569,r,0.0
59312.5,19.753,0.076,r,0.0
59313.302187500056,19.7645267506323,0.1014911657414962,r,0.0
59314.31,19.835,0.049,r,0.0
59317.33318290021,19.788851140187386,0.08140818646948283,r,0.0
59317.38,19.686,0.069,r,0.0
59319.34,19.757,0.049,r,0.0
59321.29655090021,19.737267637969197,0.05803688951985073,r,0.0
59321.46,19.81,0.041,r,0.0
59323.34164350014,19.918153373120774,0.08792007348942311,r,0.0
59325.27482639998,20.043594621687713,0.12060408676994634,r,0.0
59326.3,20.209,0.145,r,0.0
59332.44,20.639,0.221,r,0.0
59334.43,21.095,0.545,r,0.0
59334.44,20.923,0.195,r,0.0
59336.44,21.081,0.238,r,0.0
59338.25431710016,21.592882653258197,0.3350654564270233,r,0.0
59340.298194400035,21.26223717470821,0.25403183582570016,r,0.0
59342.30067129992,21.554533960311062,0.3009832462597986,r,0.0
59344.27,21.474,0.165,r,0.0
59352.43,21.504,0.326,r,0.0
59360.27,22.036,0.688,r,0.0
59364.4,22.284,0.393,r,0.0
59310.36,20.02,0.073,i,0.0
59313.47,19.86,0.069,i,0.0
59316.45,19.843,0.099,i,0.0
59322.49,19.766,0.052,i,0.0
59323.35,19.723,0.061,i,0.0
59326.3,19.657,0.102,i,0.0
59334.42,20.707,0.512,i,0.0
59342.27,20.911,0.183,i,0.0
59346.4,21.246,0.213,i,0.0
59349.45,21.561,0.511,i,0.0
59351.38,20.822,0.259,i,0.0
59362.39,21.82,0.501,i,0.0
59368.34,21.977,0.538,i,0.0
59373.33,22.245,0.332,i,0.0
