MJD,MAG,MAGERR,FLT,Vega
57655.46,20.42,0.1,g,0.0
57662.97,21.3,0.1,g,0.0
57668.97,20.84,0.1,g,0.0
57681.36,18.57,0.08,g,0.0
57682.37,18.95,0.09,g,0.0
57683.22,19.27,0.12,g,0.0
57684.36,19.33,0.17,g,0.0
57687.1,19.42,0.02,g,0.0
57688.4,19.46,0.04,g,0.0
57694.37,19.74,0.16,g,0.0
57695.15,19.82,0.05,g,0.0
57696.33,19.98,0.15,g,0.0
57697.36,20.1,0.16,g,0.0
57698.21,20.43,0.2,g,0.0
57699.31,20.51,0.16,g,0.0
57700.25,20.7,0.07,g,0.0
57701.19,20.86,0.15,g,0.0
57655.5,20.23,0.1,r,0.0
57663.01,21.09,0.1,r,0.0
57669.01,20.63,0.1,r,0.0
57681.32,18.81,0.1,r,0.0
57682.33,18.94,0.09,r,0.0
57683.26,19.18,0.12,r,0.0
57687.09,18.99,0.02,r,0.0
57688.39,18.85,0.03,r,0.0
57694.33,18.76,0.06,r,0.0
57695.27,18.8,0.07,r,0.0
57696.3,18.86,0.08,r,0.0
57698.25,19.11,0.07,r,0.0
57699.08,19.26,0.11,r,0.0
57700.25,19.4,0.03,r,0.0
57701.18,19.42,0.04,r,0.0
57704.21,20.05,0.1,r,0.0
57706.1,20.17,0.19,r,0.0
57710.09,20.46,0.22,r,0.0
57711.13,20.61,0.08,r,0.0
57717.2,20.9,0.1,r,0.0
57722.16,21.06,0.1,r,0.0
57723.2,21.03,0.1,r,0.0
57726.17,20.84,0.31,r,0.0
57728.23,21.57,0.27,r,0.0
