MJD,MAG,MAGERR,FLT,Vega
59293.54,16.658862085794617,0.041,W2,0.0
59293.88,16.928862085794616,0.042,W2,0.0
59294.44,17.480862085794616,0.044,W2,0.0
59295.51,18.697862085794615,0.058,W2,0.0
59296.6,19.845862085794614,0.112,W2,0.0
59298.28,20.558862085794615,0.2,W2,0.0
59302.67,20.709862085794615,0.218,W2,0.0
59303.14,20.748862085794617,0.231,W2,0.0
59308.72,20.879862085794617,0.246,W2,0.0
59325.64,20.910862085794616,0.29,W2,0.0
59293.55,16.68289186370566,0.045,M2,0.0
59293.88,16.85889186370566,0.043,M2,0.0
59294.44,17.34089186370566,0.045,M2,0.0
59295.51,18.44789186370566,0.064,M2,0.0
59296.6,20.15989186370566,0.165,M2,0.0
59298.29,20.92589186370566,0.301,M2,0.0
59293.54,16.85927078594693,0.048,W1,0.0
59293.87,16.931270785946932,0.049,W1,0.0
59294.44,17.33027078594693,0.054,W1,0.0
59295.5,18.22827078594693,0.079,W1,0.0
59296.59,19.52027078594693,0.195,W1,0.0
59302.66,20.036270785946932,0.308,W1,0.0
59303.14,20.16627078594693,0.352,W1,0.0
59293.54,16.859042857364244,0.058,U,0.0
59293.88,16.90304285736424,0.06,U,0.0
59294.44,17.094042857364244,0.066,U,0.0
59295.51,17.559042857364243,0.089,U,0.0
59296.6,18.40604285736424,0.18,U,0.0
59298.28,18.713042857364243,0.234,U,0.0
59302.66,18.190042857364244,0.156,U,0.0
59303.14,18.35704285736424,0.183,U,0.0
59308.71,18.777042857364243,0.251,U,0.0
59293.54,17.294022845777242,0.138,B,0.0
59293.88,17.172022845777242,0.125,B,0.0
59294.44,17.21402284577724,0.129,B,0.0
59295.51,17.61002284577724,0.178,B,0.0
59296.6,18.088022845777243,0.28,B,0.0
59298.28,18.24902284577724,0.325,B,0.0
59302.66,17.492022845777242,0.174,B,0.0
59303.14,17.77502284577724,0.224,B,0.0
59308.71,17.844022845777243,0.232,B,0.0
59293.29436339997,17.624712392926494,0.01695916278773355,g,0.0
59295.18487,17.480643830699766,0.011,g,0.0
59296.35429400019,18.019713249644383,0.034512175202282495,g,0.0
59297.10668,18.153845807485926,0.02,g,0.0
59297.15548,18.150891989652912,0.014,g,0.0
59298.39475690015,18.149423108158874,0.05842502127009868,g,0.0
59302.354259300046,17.530922963284112,0.04303497010886579,g,0.0
59304.257928200066,17.46126166890085,0.028051264001139165,g,0.0
59307.31163189979,17.434712305777484,0.012660804385147661,g,0.0
59309.31104170019,17.690072040403066,0.01691005921108862,g,0.0
59310.15689,17.76376961828051,0.011,g,0.0
59311.233981499914,17.984966810000795,0.022166616403868404,g,0.0
59313.14254,18.29854706913295,0.013,g,0.0
59313.25517359981,18.37153029294309,0.02945956940671892,g,0.0
59315.27539349999,18.52387541201423,0.1032824181760176,g,0.0
59316.12594,18.6967747114378,0.019,g,0.0
59319.15473,19.017599897040323,0.039,g,0.0
59321.253275500145,19.32279798041184,0.05357708081087746,g,0.0
59323.28026620019,19.357804976087348,0.08101120170955559,g,0.0
59325.32376160007,19.363720559670607,0.11036539385537543,g,0.0
59335.25437500002,19.80098035496619,0.11666387807859363,g,0.0
59338.31074069999,19.990690694250997,0.1138843044418289,g,0.0
59340.07038,19.913636962539638,0.02,g,0.0
59340.2126042,19.865477042933595,0.08464437679544314,g,0.0
59342.23458330007,20.066047979079325,0.08624864699905137,g,0.0
59343.09815,19.967045255305845,0.02,g,0.0
59344.255868100096,20.205764287316075,0.10618681636187285,g,0.0
59346.07064,20.11090006861976,0.02,g,0.0
59349.05871,20.166065929392897,0.02,g,0.0
59350.20771990018,20.34923472529633,0.1647452323840063,g,0.0
59352.06303,20.368872101330695,0.02,g,0.0
59353.23415509984,20.509574923428012,0.3066129942146341,g,0.0
59362.18312499998,20.83605735154038,0.19312275277644927,g,0.0
59365.19233800005,21.107309250842437,0.2959673336708023,g,0.0
59367.05698,20.791247549617687,0.02,g,0.0
59367.247002299875,20.764916592398524,0.22566253183975324,g,0.0
59369.227280099876,20.79885013379694,0.19735423085010312,g,0.0
59370.0455,21.025094260757665,0.02,g,0.0
59371.18693289999,21.166856765525896,0.2877851906753073,g,0.0
59373.03614,21.052703299274626,0.02,g,0.0
59373.18488429999,20.954438470432073,0.2185710724403956,g,0.0
59376.04797,21.09671179452588,0.02,g,0.0
59376.22050930001,20.848398859968963,0.3059735999141254,g,0.0
59378.18815970002,21.066215183898198,0.3066146395346929,g,0.0
59380.28,22.12566258559746,1.259,g,0.0
59406.28,21.34966258559746,0.393,g,0.0
59579.33735,24.91796554021067,0.02,g,0.0
59582.33829,23.343952496999687,0.02,g,0.0
59592.34498,25.682723762635696,0.02,g,0.0
59595.35268,24.149102836135434,0.02,g,0.0
59293.235347200185,18.127982379902097,0.027073108111433302,r,0.0
59295.487,17.708469196726817,0.032,r,0.0
59296.3591781999,17.86756376271594,0.031212448595183562,r,0.0
59297.10716,18.0617255110077,0.064,r,0.0
59297.15639,18.047559954517826,0.03,r,0.0
59297.5,18.021469196726816,0.034,r,0.0
59297.504,17.964469196726817,0.033,r,0.0
59297.504,17.953469196726818,0.03,r,0.0
59298.304861099925,17.80622615770716,0.05858169335675121,r,0.0
59302.2555670999,17.25704025220595,0.0335619530819594,r,0.0
59304.18178,17.206421503794118,0.011,r,0.0
59304.30233799992,17.087187373855006,0.018680769402300627,r,0.0
59306.307,17.153469196726817,0.021,r,0.0
59307.25349539984,16.976361409699617,0.010958924327289267,r,0.0
59309.251,17.30846919672682,0.022,r,0.0
59309.27019680012,17.00563949149203,0.010499271866117845,r,0.0
59311.30894679995,17.141779646569308,0.010892585009149226,r,0.0
59313.295578700025,17.318017114161307,0.01801272872105673,r,0.0
59315.25300930021,17.457892539073068,0.22036252262377273,r,0.0
59316.12686,17.729089339947453,0.013,r,0.0
59317.207812500186,17.749031697956166,0.017271519956328866,r,0.0
59320.269,18.047469196726816,0.041,r,0.0
59321.29083329998,18.003867053547694,0.01867669301529275,r,0.0
59321.362,18.18346919672682,0.023,r,0.0
59323.31745370012,18.153657283364254,0.02680155444937132,r,0.0
59325.25546299992,18.245792489966686,0.030656588357349152,r,0.0
59335.2072222,18.643646989849653,0.04830362183633594,r,0.0
59337.08016,18.958136067969708,0.02,r,0.0
59338.23388889991,18.8217637040787,0.0378783366847772,r,0.0
59339.22,19.077469196726817,0.081,r,0.0
59340.07129,19.0440796501172,0.02,r,0.0
59340.23204859998,19.001819115308713,0.04787624419961097,r,0.0
59342.276481499895,19.07785510896564,0.05214250562039118,r,0.0
59344.22601850005,19.105857350300884,0.04429872071624366,r,0.0
59346.07155,19.375683913123833,0.02,r,0.0
59346.31275459984,19.263820381138203,0.0679298222457468,r,0.0
59348.19342589984,19.25755067428088,0.0515527859506669,r,0.0
59352.06393,19.677268192497056,0.02,r,0.0
59353.19228010019,19.44412174576241,0.08838093262156121,r,0.0
59358.06739,19.889529004521517,0.02,r,0.0
59359.19165509986,19.80103425477101,0.22596201962452486,r,0.0
59362.23353009997,19.79262335634177,0.13057527492713872,r,0.0
59364.05296,20.30513216580104,0.02,r,0.0
59367.05606,20.462319395201323,0.02,r,0.0
59367.21599540021,20.009414306116103,0.11153638961397987,r,0.0
59369.205335599836,20.26436861915659,0.13701924862415393,r,0.0
59371.22937500011,20.18090761855424,0.13043221573392955,r,0.0
59373.03523,20.907074294783634,0.02,r,0.0
59373.2125694002,20.65585526597175,0.24626624354688,r,0.0
59376.257407399826,20.23733317263401,0.18373229879106148,r,0.0
59378.24714120012,20.508990944085635,0.20777969015966655,r,0.0
59380.20774309989,20.423057463139116,0.353330663567228,r,0.0
59406.28,21.617469196726816,0.335,r,0.0
59585.34655,25.347930909332412,0.02,r,0.0
59592.35423,25.805751839334047,0.02,r,0.0
59295.18579,17.875068190477084,0.011,i,0.0
59297.10765,18.075068190477083,0.013,i,0.0
59304.1827,17.232068190477083,0.01,i,0.0
59307.1584,17.099068190477084,0.013,i,0.0
59307.336,17.104068190477083,0.01,i,0.0
59310.15781,17.150068190477082,0.01,i,0.0
59313.14345,17.320068190477084,0.01,i,0.0
59315.308,17.584068190477083,0.01,i,0.0
59319.15564,17.811068190477084,0.011,i,0.0
59331.10118,18.316068190477083,0.012,i,0.0
59333.0903,18.378068190477084,0.012,i,0.0
59333.261,18.616068190477083,0.019,i,0.0
59333.272,18.59406819047708,0.014,i,0.0
59333.283,18.62306819047708,0.02,i,0.0
59333.295,18.611068190477084,0.018,i,0.0
59337.07926,18.482068190477083,0.012,i,0.0
59343.09905,18.614068190477084,0.012,i,0.0
59346.343,19.046068190477083,0.017,i,0.0
59346.353,19.055068190477083,0.018,i,0.0
59346.364,19.00706819047708,0.017,i,0.0
59346.375,19.050068190477084,0.02,i,0.0
59349.05962,18.761068190477083,0.013,i,0.0
59358.06832,18.947068190477083,0.015,i,0.0
59361.03482,19.032068190477084,0.015,i,0.0
59364.05386,19.110068190477083,0.014,i,0.0
59370.04458,19.127068190477083,0.031,i,0.0
59376.04614,19.332068190477084,0.015,i,0.0
59380.28,19.246068190477082,0.068,i,0.0
59416.27,19.860068190477083,0.224,i,0.0
59571.33844,22.855068190477084,0.361,i,0.0
59582.33904,22.726068190477083,0.203,i,0.0
59588.35394,22.744068190477083,0.345,i,0.0
