,Bandpass,Effective Wavelength,AB - Vega,Color
W2,Swift_UVOT,1928.0,1.73,#C20078
M2,Swift_UVOT,2246,1.69,#00FFFF
W1,Swift_UVOT,2600,1.51,#380282
us,Swift_UVOT,3465,1.02,#7E1E9C
u,sdss,3546.0,0.91,#580F41
U,johnson,3571.0,0.79,#C79FEF
B,johnson,4344.0,-0.09,#7BC8F6
bs,Swift_UVOT,4346.25,-0.13,#0343DF
g,sdss,4670.0,-0.08,#15B01A
c,ATLAS,5183.87,0.0,#00FFFF
vs,Swift_UVOT,5411.43,-0.01,#C875C4
V,johnson,5456.0,0.02,#9A0EEA
r,sdss,6156.0,0.16,#8C000F
Clear,PanSTARRS,6439.35,0.0,#AAA662
R,johnson,6442.0,0.21,#E50000
o,ATLAS,6632.15,0.0,#F97306
i,sdss,7472.0,0.37,#580F41
I,johnson,7994.0,0.45,#01153E
z,sdss,8917.0,0.54,#000000
J,johnson,12355.0,0.91,#FBDD7E
H,bessell,16458,1.39,#E6DAA6
K,johnson,21603.0,1.85,#929591
